company;language;report_type;year;link
Aargauische Kantonalbank;DE;AR;2019;"https://www.akb.ch/documents/30573/1824504/geschaeftsbericht-2019.pdf"
Aargauische Kantonalbank;EN;AR;2019;"https://www.akb.ch/documents/30573/1824504/annual-report-2019.pdf"
Aargauische Kantonalbank;DE;AR;2018;"https://www.akb.ch/documents/30573/1006009/geschaeftsbericht-2018.pdf"
Aargauische Kantonalbank;EN;AR;2018;"https://www.akb.ch/documents/30573/1006009/annual-report-2018.pdf"
Aargauische Kantonalbank;DE;AR;2017;"https://www.akb.ch/documents/30573/94111/geschaeftsbericht-2017.pdf"
Aargauische Kantonalbank;EN;AR;2017;"https://www.akb.ch/documents/30573/94111/annual-report-2017.pdf"
Aargauische Kantonalbank;DE;AR;2016;"https://www.akb.ch/documents/30573/92310/geschaeftsbericht-2016.pdf"
Aargauische Kantonalbank;EN;AR;2016;"https://www.akb.ch/documents/30573/92310/annual-report-2016.pdf"
Aargauische Kantonalbank;DE;AR;2015;"https://www.akb.ch/documents/30573/92306/jahresbericht-2015.pdf"
Aargauische Kantonalbank;EN;AR;2015;"https://www.akb.ch/documents/30573/92306/annual-report-2015.pdf"
Aargauische Kantonalbank;DE;AR;2014;"https://www.akb.ch/documents/30573/92302/jahresbericht-2014.pdf"
Aargauische Kantonalbank;DE;SR;2014;"https://www.akb.ch/documents/30573/92302/nachhaltigkeitsbericht-2014.pdf"
Aargauische Kantonalbank;DE;AR;2013;"https://www.akb.ch/documents/30573/92298/jahresbericht-2013.pdf"
Aargauische Kantonalbank;DE;SR;2013;"https://www.akb.ch/documents/30573/92298/nachhaltigkeitsbericht-2013.pdf"
Aargauische Kantonalbank;DE;AR;2012;"https://www.akb.ch/documents/30573/92294/jahresbericht-2012.pdf"
Aargauische Kantonalbank;DE;SR;2012;"https://www.akb.ch/documents/30573/92294/nachhaltigkeitsbericht-2012.pdf"
Aargauische Kantonalbank;DE;AR;2011;"https://www.akb.ch/documents/30573/92290/jahresbericht-2011.pdf"
Aargauische Kantonalbank;DE;SR;2011;"https://www.akb.ch/documents/30573/92290/nachhaltigkeitsbericht-2011.pdf"
Aargauische Kantonalbank;DE;AR;2010;"https://www.akb.ch/documents/30573/92286/jahresbericht-2010.pdf"
Aargauische Kantonalbank;DE;SR;2010;"https://www.akb.ch/documents/30573/92286/nachhaltigkeitsbericht-2010.pdf"
Aargauische Kantonalbank;DE;AR;2009;"https://www.akb.ch/documents/30573/92282/jahresbericht-2009.pdf"
Aargauische Kantonalbank;DE;SR;2009;"https://www.akb.ch/documents/30573/92282/nachhaltigkeitsbericht-2009.pdf"
Aargauische Kantonalbank;DE;AR;2008;"https://www.akb.ch/documents/30573/92278/jahresbericht-2008.pdf"
Aargauische Kantonalbank;DE;SR;2008;"https://www.akb.ch/documents/30573/92278/nachhaltigkeitsbericht-2008.pdf"
Aargauische Kantonalbank;DE;AR;2007;"https://www.akb.ch/documents/30573/92274/jahresbericht-2007.pdf"
Aargauische Kantonalbank;DE;SR;2007;"https://www.akb.ch/documents/30573/92274/nachhaltigkeitsbericht-2007.pdf"
Aargauische Kantonalbank;DE;AR;2006;"https://www.akb.ch/documents/30573/92264/geschaeftsbericht-2006.pdf"
Aargauische Kantonalbank;DE;AR;2005;"https://www.akb.ch/documents/30573/92236/geschaeftsbericht-2005.pdf"
Aargauische Kantonalbank;DE;AR;2004;"https://www.akb.ch/documents/30573/92232/geschaeftsbericht-2004.pdf"
Aargauische Kantonalbank;DE;AR;2003;"https://www.akb.ch/documents/30573/92196/geschaeftsbericht-2003.pdf"
