company;language;report_type;year;link
Allreal Holding AG;DE;AR;2019;"
Allreal Holding AG;DE;AR;2019;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2019-gb-de.pdf"
Allreal Holding AG;DE;AR;2018;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2018-gb-de.pdf"
Allreal Holding AG;DE;AR;2017;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2017-gb-de.pdf"
Allreal Holding AG;DE;AR;2016;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2016-gb-de.pdf"
Allreal Holding AG;DE;AR;2015;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2015-gb-de.pdf"
Allreal Holding AG;DE;AR;2014;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2014-gb-de.pdf"
Allreal Holding AG;DE;AR;2013;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2013-gb-de.pdf"
Allreal Holding AG;DE;AR;2012;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2012-gb-de.pdf"
Allreal Holding AG;DE;AR;2011;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2011-gb-de.pdf"
Allreal Holding AG;DE;AR;2010;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2010-gb-de.pdf"
Allreal Holding AG;DE;AR;2009;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2009-gb-de.pdf"
Allreal Holding AG;DE;AR;2008;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2008-gb-de.pdf"
Allreal Holding AG;DE;AR;2007;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2007-gb-de.pdf"
Allreal Holding AG;DE;AR;2006;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2006-gb-de.pdf"
Allreal Holding AG;DE;AR;2005;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2005-gb-de.pdf"
Allreal Holding AG;DE;AR;2004;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2004-gb-de.pdf"
Allreal Holding AG;DE;AR;2003;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2003-gb-de.pdf"
Allreal Holding AG;DE;FR;2003;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2003-fb-de.pdf"
Allreal Holding AG;DE;AR;2002;"http://www.allreal.ch/nc/fileadmin/user_upload/anleger/geschaeftsberichte/2002-gb-de.pdf"
