company;language;report_type;year;link
Aryzta;EN;AR;2017;"https://www.aryzta.com/wp-content/uploads/2017/10/Annual-Report-2017-1-1.pdf"
Aryzta;EN;AR;2016;"https://www.aryzta.com/wp-content/uploads/2016/10/Annual-Report-2016.pdf"
Aryzta;EN;AR;2015;"https://www.aryzta.com/wp-content/uploads/2016/04/annual-report-and-accounts-nov-2015.pdf"
Aryzta;EN;AR;2014;"https://www.aryzta.com/wp-content/uploads/2016/04/annual-report-2014a.pdf"
Aryzta;EN;AR;2013;"https://www.aryzta.com/wp-content/uploads/2016/04/annual-report-2013.pdf"
Aryzta;EN;AR;2012;"https://www.aryzta.com/wp-content/uploads/2016/04/annual-report-2012.pdf"
Aryzta;EN;AR;2011;"https://www.aryzta.com/wp-content/uploads/2016/04/annual_report_and_accounts_2011.pdf"
Aryzta;EN;AR;2010;"https://www.aryzta.com/wp-content/uploads/2016/04/aryzta-ar-2010.pdf"
Aryzta;EN;AR;2009;"https://www.aryzta.com/wp-content/uploads/2016/04/annual_report_2009.pdf"
Aryzta;EN;AR;2007;"https://www.aryzta.com/wp-content/uploads/2016/04/IAWS_annual_report_2007.pdf"
Aryzta;EN;AR;2006;"https://www.aryzta.com/wp-content/uploads/2016/04/IAWS_annual_report_2006.pdf"
Aryzta;EN;AR;2005;"https://www.aryzta.com/wp-content/uploads/2016/04/IAWS_annual_report_2005.pdf"
Aryzta;EN;AR;2004;"https://www.aryzta.com/wp-content/uploads/2016/04/IAWS_annual_report_2004.pdf"
Aryzta;EN;AR;2003;"https://www.aryzta.com/wp-content/uploads/2016/04/IAWS_annual_report_2003.pdf"
Aryzta;EN;AR;2018;"https://www.aryzta.com/wp-content/uploads/2018/10/Annual-Report-and-Accounts-2018b-1.pdf"
Aryzta;EN;AR;2019;"https://www.aryzta.com/wp-content/uploads/2019/10/2019-Annual-Report.pdf"
