company;language;report_type;year;link
BB Biotech AG;EN;AR;2019;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=4c5d0812de3ac40dcce89e2dc5e57557e3410f8d&file=fileadmin/user_upload/files/bbbiotech/de/pdf/Jahresberichte/2019/BION_GB2019_EN.pdf"
BB Biotech AG;EN;AR;2018;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=b80f5546179349a1e120139a3cc88d2c5a6f1efd&file=fileadmin/user_upload/files/bbbiotech/de/pdf/Jahresberichte/2019/BION_GB2018_en.pdf"
BB Biotech AG;EN;AR;2017;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=970673ab32128873229457649932a8e71ed41ffc&file=fileadmin/user_upload/files/bbbiotech/de/pdf/Jahresberichte/2018/BION_GB_2017_EN.pdf"
BB Biotech AG;EN;AR;2016;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=6fa3ce25530e2516aa79bdbe9444d217fa138e3b&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2017/GB_BION_2016_EN.pdf"
BB Biotech AG;EN;AR;2015;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=821d75255b7c69d03083874cabae6cbb225281ad&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2016/BION_Annual_Report_2015.pdf"
BB Biotech AG;EN;AR;2014;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=9955486cc68e2974d85b0dacda469f7c5d580e39&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2015/BION_2014_Annual_Report_EN.pdf"
BB Biotech AG;EN;AR;2013;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=58aa2c4f8417f72e0d3b5bbda8084a20c4a0184a&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2014/BB_Biotech_Annual_Report_2013_EN_01.pdf"
BB Biotech AG;EN;AR;2012;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=fc319a687c3be03c10c38eca1bb586e3fdd94dc3&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2012/BION_GB_2012_en.pdf"
BB Biotech AG;EN;AR;2011;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204433&hash=8b87fea9dcb2581d706f396a2277650e1b073f06&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2011/BB_Biotech_Annual_Report_2011_EN.pdf"
BB Biotech AG;EN;AR;2010;"https://www.bbbiotech.ch/index.php?eID=tx_securedownloads&p=1142&u=4&g=1&t=1589204436&hash=3ef3ebf3b2f79f17f50a681fdbf72b9453fec90e&file=fileadmin/user_upload/files/bbbiotech/en/pdf/Annual_Reports/2010/BION_Annual_Report_2010_EN.pdf"
