company;language;report_type;year;link
BKW AG;DE;AR;2019;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB19/Gesch%C3%A4ftsbericht_Deutsch.pdf"
BKW AG;DE;AR;2018;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB18/Geschaeftsbericht_2018_de.pdf"
BKW AG;DE;AR;2017;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2017/Geschaeftsbericht_Deutsch.pdf"
BKW AG;DE;AR;2016;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2016/PDF/Web-Geschaeftsbericht_de.pdf"
BKW AG;DE;AR;2015;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Geschaeftsbericht_2015_de.pdf"
BKW AG;DE;AR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Jahresbericht_de.pdf"
BKW AG;DE;FR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Finanzbericht_de.pdf"
BKW AG;DE;AR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Jahresbericht_2013_de.pdf"
BKW AG;DE;FR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Finanzbericht_2013_de.pdf"
BKW AG;DE;AR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_jb_de.pdf"
BKW AG;DE;FR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_fb_de.pdf"
BKW AG;DE;AR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_jb_de.pdf"
BKW AG;DE;FR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_fb_de_pdf.File.pdf"
BKW AG;DE;AR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_jb_de-2.pdf"
BKW AG;DE;FR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_fb_de.pdf"
BKW AG;DE;AR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_jb_de.pdf"
BKW AG;DE;FR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_fb_de.pdf"
BKW AG;FR;AR;2019;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB19/Gesch%C3%A4ftsbericht_Franz%C3%B6sisch.pdf"
BKW AG;FR;AR;2018;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB18/Geschaeftsbericht_2018_fr.pdf"
BKW AG;FR;AR;2017;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2017/Geschaeftsbericht_Franzoesisch.pdf"
BKW AG;FR;AR;2016;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2016/PDF/Web-Geschaeftsbericht_fr.pdf"
BKW AG;FR;AR;2015;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Geschaeftsbericht_2015_fr.pdf"
BKW AG;FR;AR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Jahresbericht_fr.pdf"
BKW AG;FR;FR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Finanzbericht_fr.pdf"
BKW AG;FR;AR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2013_jb_fr.pdf"
BKW AG;FR;FR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2013_fb_fr.pdf"
BKW AG;FR;AR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_jb_fr.pdf"
BKW AG;FR;FR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_fb_fr.pdf"
BKW AG;FR;AR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_jb_fr.pdf"
BKW AG;FR;FR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_fb_fr_pdf.File.pdf"
BKW AG;FR;AR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_jb_fr.pdf"
BKW AG;FR;FR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_fb_fr.pdf"
BKW AG;FR;AR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_jb_fr.pdf"
BKW AG;FR;FR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_fb_fr.pdf"
BKW AG;EN;AR;2019;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB19/Gesch%C3%A4ftsbericht_Englisch.pdf"
BKW AG;EN;AR;2018;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB18/Geschaeftsbericht_2018_en.pdf"
BKW AG;EN;AR;2017;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2017/Geschaeftsbericht_Englisch.pdf"
BKW AG;EN;AR;2016;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Investor_Relations/GB%2016/PDF/Web-Geschaeftsbericht_en.pdf"
BKW AG;EN;AR;2015;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Geschaeftsbericht_2015_en.pdf"
BKW AG;EN;AR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Jahresbericht_en.pdf"
BKW AG;EN;FR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2014_Finanzbericht_en.pdf"
BKW AG;EN;AR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2013_jb_en.pdf"
BKW AG;EN;FR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2013_fb_en.pdf"
BKW AG;EN;AR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_jb_en.pdf"
BKW AG;EN;FR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_fb_en.pdf"
BKW AG;EN;AR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_jb_en.pdf"
BKW AG;EN;FR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_fb_en_pdf.File.pdf"
BKW AG;EN;AR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_jb_en.pdf"
BKW AG;EN;FR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_fb_de.pdf"
BKW AG;EN;AR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_jb_en.pdf"
BKW AG;EN;FR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_fb_en.pdf"
BKW AG;EN;SR;2016;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Engagement/Nachhaltigkeit/Nachhaltigkeitsreporting%2017/Tabellen_Nachhaltigkeitsreport16_de.pdf"
BKW AG;EN;SR;2015;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Engagement/Nachhaltigkeit/Nachhaltigkeitsreporting_092016/Tabellen_Nachhaltigkeitsreport15_de.pdf"
BKW AG;EN;SR;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Engagement/Nachhaltigkeit/BKW_NHB_DE_150428_web.pdf"
BKW AG;EN;GRI;2014;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Engagement/Nachhaltigkeit/GRI_Bericht_final_DE.pdf"
BKW AG;EN;SR;2013;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/Nachhaltigkeitsbericht_2013_de.pdf"
BKW AG;EN;SR;2012;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2012_nachhaltigkeitsbericht_de.pdf"
BKW AG;EN;SR;2011;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2011_nachhaltigkeitsbericht_de.pdf"
BKW AG;EN;SR;2010;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2010_nb_de.pdf"
BKW AG;EN;SR;2009;"https://www.bkw.ch/fileadmin/user_upload/4_Ueber_BKW/Downloadcenter/UEber_BKW_Gruppe/2009_nb_de.pdf"
