company;language;report_type;year;link
Baloise;DE;AR;2018;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2018/geschaeftsbericht-baloise-group-2018.pdf"
Baloise;EN;AR;2018;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2018/annual-report-baloise-group-2018.pdf"
Baloise;DE;AR;2017;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2017/geschaeftsbericht-baloise-group-2017.pdf"
Baloise;EN;AR;2017;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2017/annual-report-baloise-group-2017.pdf"
Baloise;DE;AR;2016;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2016/geschaeftsbericht-baloise-group-2016.pdf"
Baloise;EN;AR;2016;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2016/annual-report-baloise-group-2016.pdf"
Baloise;DE;AR;2015;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2015/geschaeftsbericht-2015"
Baloise;EN;AR;2015;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2015/annual-report-2015"
Baloise;DE;AR;2014;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2014/Geschaeftsbericht-2014"
Baloise;EN;AR;2014;"https://www.baloise.com/dam/baloise-com/documents/en/publications/half-year-results/half-year-report/2014/Baloise_SB2014_en.pdf"
Baloise;DE;AR;2019;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2019/geschaeftsbericht-baloise-group-2019.pdf"
Baloise;EN;AR;2019;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2019/annual-report-baloise-group-2019.pdf"
