company;language;report_type;year;link
Banca dello Stato del Cantone Ticino;IT;SR;2019;"https://www.bancastato.ch/dam/jcr:8e235c77-2cd3-4ae4-9d8e-161fce8f6c38/BSA%202019.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2019;"https://www.bancastato.ch/dam/jcr:e7e73748-68ad-4e7d-9657-4bb83d6070a2/RapportoAnnuale2019BancaStato.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2018;"https://www.bancastato.ch/dam/jcr:d7100641-e5e1-4afc-944b-9c107745fce1/BSA2018.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2018;"https://www.bancastato.ch/dam/jcr:fb4df577-a27b-4e98-91ee-8fe9e9511f54/RA2018.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2017;"https://www.bancastato.ch/dam/jcr:0e252ab9-5168-43fd-b272-e351217beb60/BSA2017.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2017;"https://www.bancastato.ch/dam/jcr:fdcc73a9-5613-4f07-9f8c-24581c210b30/RA2017web.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2016;"https://www.bancastato.ch/dam/jcr:96e95b7d-9826-4fc9-af1e-8b9d009f2cce/BSA2016.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2016;"https://www.bancastato.ch/dam/jcr:424d2eb6-2475-488f-928d-e15a059a84b0/RA2016.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2015;"https://www.bancastato.ch/dam/jcr:28c021b9-3706-4200-93e7-1c0455ad1784/RA2015.pdf"
Banca dello Stato del Cantone Ticino;EN;AR;2015;"https://www.bancastato.ch/dam/jcr:2e2c3830-7998-4a57-bf29-38ddd8abc611/RA2015ENGLISH.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2014;"https://www.bancastato.ch/dam/jcr:f36c24a7-9373-4407-8057-b974d45a165f/BSA2014.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2014;"https://www.bancastato.ch/dam/jcr:9364fb8d-206b-4ce1-97e4-f3f7f448e887/RA2014.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2013;"https://www.bancastato.ch/dam/jcr:2799689e-9fb2-474f-b420-e3e0350169e0/RA2013.pdf"
Banca dello Stato del Cantone Ticino;EN;AR;2013;"https://www.bancastato.ch/dam/jcr:e41811ab-756e-4549-8631-dea447f584f8/RA2013english.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2013;"https://www.bancastato.ch/dam/jcr:a4347420-2590-4edb-99a9-3d9d0c0b847e/BSA2013.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2012;"https://www.bancastato.ch/dam/jcr:77a90c9c-f873-4884-a622-2ec378010b86/BSA2012.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2012;"https://www.bancastato.ch/dam/jcr:6198558e-8aab-4774-b4d3-0734893ea015/RA2012.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2011;"https://www.bancastato.ch/dam/jcr:4aa42f79-890a-4d1b-8450-5d7d49e7864e/RA2011.pdf"
Banca dello Stato del Cantone Ticino;EN;AR;2011;"https://www.bancastato.ch/dam/jcr:613fc7f8-5478-48b5-9bd1-8128797eb7cd/RA2011EN.pdf"
Banca dello Stato del Cantone Ticino;IT;SR;2010;"https://www.bancastato.ch/dam/jcr:95e5e60d-d0b0-4d94-8605-3e8841117927/BSA2010.pdf"
Banca dello Stato del Cantone Ticino;IT;AR;2010;"https://www.bancastato.ch/dam/jcr:4aa42f79-890a-4d1b-8450-5d7d49e7864e/RA2011.pdf"
