company;language;report_type;year;link
Banque Cantonale Vaudoise;EN;AR;2019;"https://www.bcv.ch/content/download/22925/353001/version/6/file/ENG-BCV_Rapport_annuel_2019.pdf"
Banque Cantonale Vaudoise;EN;AR;2018;"https://www.bcv.ch/content/download/20638/315622/version/6/file/ENG%20-%20BCV_Rapport_annuel_2018.pdf"
Banque Cantonale Vaudoise;EN;AR;2017;"https://www.bcv.ch/content/download/18042/281149/version/6/file/ENG%20-%20BCV_2017_Annual_report.pdf"
Banque Cantonale Vaudoise;EN;AR;2016;"https://www.bcv.ch/content/download/15415/251760/version/13/file/Rapport-annuel-BCV-2016-en.pdf"
Banque Cantonale Vaudoise;EN;AR;2015;"https://www.bcv.ch/content/download/12285/197349/version/9/file/Rapport-annuel-BCV-2015-en.pdf"
Banque Cantonale Vaudoise;EN;AR;2014;"https://www.bcv.ch/content/download/9870/105898/version/18/file/Rapport_annuel_EN_2014-bd.pdf"
Banque Cantonale Vaudoise;EN;AR;2013;"https://www.bcv.ch/content/download/2726/105505/version/9/file/2013_Annual_Report.pdf"
Banque Cantonale Vaudoise;EN;AR;2012;"https://www.bcv.ch/content/download/2728/105515/version/7/file/RapportAnnuel_BCV_2012.pdf"
Banque Cantonale Vaudoise;EN;AR;2011;"https://www.bcv.ch/content/download/2723/105481/version/7/file/rapport-annuel-2011-en.pdf"
Banque Cantonale Vaudoise;EN;AR;2010;"https://www.bcv.ch/content/download/2736/105549/version/11/file/RapportAnnuel_BCV_2010.pdf"
Banque Cantonale Vaudoise;EN;AR;2009;"https://www.bcv.ch/content/download/2734/107229/version/5/file/2009_Annual_Report.pdf"
Banque Cantonale Vaudoise;EN;AR;2008;"https://www.bcv.ch/content/download/2733/105537/version/6/file/RapportAnnuel_BCV_2008.pdf"
Banque Cantonale Vaudoise;EN;AR;2007;"https://www.bcv.ch/content/download/2732/105531/version/5/file/annual_report_bcv_2007.pdf"
Banque Cantonale Vaudoise;EN;AR;2006;"https://www.bcv.ch/content/download/2729/105525/version/5/file/RapportAnnuel_BCV_2006.pdf"
Banque Cantonale Vaudoise;EN;AR;2005;"https://www.bcv.ch/content/download/2725/105499/version/11/file/RapportAnnuel_BCV_2005.pdf"
Banque Cantonale Vaudoise;EN;AR;2004;"https://www.bcv.ch/content/download/2724/105487/version/6/file/rapport-annuel-2004-bcv-en.pdf"
Banque Cantonale Vaudoise;EN;AR;2003;"https://www.bcv.ch/content/download/2735/105543/version/5/file/rapport-annuel-2003-bcv-en.pdf"
Banque Cantonale Vaudoise;FR;AR;2002;"https://www.bcv.ch/content/download/2731/31301/version/3/file/RapportAnnuel_BCV_2002.pdf"
Banque Cantonale Vaudoise;FR;AR;2001;"https://www.bcv.ch/content/download/2730/31296/version/3/file/RapportAnnuel_BCV_2001.pdf"
Banque Cantonale Vaudoise;FR;AR;2000;"https://www.bcv.ch/content/download/2727/31281/version/3/file/RapportAnnuel_BCV_2000.pdf"
Banque Cantonale Vaudoise;FR;AR;2019;"https://www.bcv.ch/content/download/22925/352993/version/6/file/FRA-BCV_Rapport_annuel_2019.pdf"
Banque Cantonale Vaudoise;FR;AR;2018;"https://www.bcv.ch/content/download/20638/315614/version/6/file/FRA-BCV_Rapport_annuel_2018.pdf"
Banque Cantonale Vaudoise;FR;AR;2017;"https://www.bcv.ch/content/download/18042/281141/version/6/file/FRA%20-%20BCV_Rapport_annuel_2017.pdf"
Banque Cantonale Vaudoise;FR;AR;2016;"https://www.bcv.ch/content/download/15415/251752/version/13/file/Rapport-annuel-BCV-2016-fr.pdf"
Banque Cantonale Vaudoise;FR;AR;2015;"https://www.bcv.ch/content/download/12285/197341/version/9/file/Rapport-annuel-BCV-2015-fr.pdf"
Banque Cantonale Vaudoise;FR;AR;2014;"https://www.bcv.ch/content/download/9870/105886/version/18/file/Rapport%20annuel_2014-bd.pdf"
Banque Cantonale Vaudoise;FR;AR;2013;"https://www.bcv.ch/content/download/2726/31276/version/9/file/RapportAnnuel_BCV_2013.pdf"
Banque Cantonale Vaudoise;FR;AR;2012;"https://www.bcv.ch/content/download/2728/31286/version/7/file/RapportAnnuel_BCV_2012.pdf"
Banque Cantonale Vaudoise;FR;AR;2011;"https://www.bcv.ch/content/download/2723/31261/version/7/file/RapportAnnuel_BCV_2011.pdf"
Banque Cantonale Vaudoise;FR;AR;2010;"https://www.bcv.ch/content/download/2736/31326/version/11/file/RapportAnnuel_BCV_2010.pdf"
Banque Cantonale Vaudoise;FR;AR;2009;"https://www.bcv.ch/content/download/2734/31316/version/5/file/RapportAnnuel_BCV_2009.pdf"
Banque Cantonale Vaudoise;FR;AR;2008;"https://www.bcv.ch/content/download/2733/31311/version/6/file/RapportAnnuel_BCV_2008.pdf"
Banque Cantonale Vaudoise;FR;AR;2007;"https://www.bcv.ch/content/download/2732/31306/version/5/file/RapportAnnuel_BCV_2007.pdf"
Banque Cantonale Vaudoise;FR;AR;2006;"https://www.bcv.ch/content/download/2729/31291/version/5/file/RapportAnnuel_BCV_2006.pdf"
Banque Cantonale Vaudoise;FR;AR;2005;"https://www.bcv.ch/content/download/2725/31271/version/11/file/RapportAnnuel_BCV_2005.pdf"
Banque Cantonale Vaudoise;FR;AR;2004;"https://www.bcv.ch/content/download/2724/31266/version/6/file/RapportAnnuel_BCV_2004.pdf"
Banque Cantonale Vaudoise;FR;AR;2003;"https://www.bcv.ch/content/download/2735/31321/version/5/file/RapportAnnuel_BCV_2003.pdf"
