company;language;report_type;year;link
Banque Cantonale de Fribourg;FR;AR;2019;"https://www.bcf.ch/sites/default/files/documents/news/rapport-annuel-bcf-2019.pdf"
Banque Cantonale de Fribourg;FR;AR;2018;"https://www.bcf.ch/sites/default/files/documents/news/rapport-annuel-bcf-2018.pdf"
Banque Cantonale de Fribourg;FR;AR;2017;"https://www.bcf.ch/sites/default/files/documents/news/rapport-annuel-bcf-2017.pdf"
Banque Cantonale de Fribourg;FR;AR;2016;"https://www.bcf.ch/sites/default/files/documents/news/rapport-annuel-bcf-2016.pdf"
Banque Cantonale de Fribourg;FR;AR;2015;"https://www.bcf.ch/sites/default/files/rapport-annuel-bcf-2015.pdf"
Banque Cantonale de Fribourg;DE;AR;2019;"https://www.bcf.ch/sites/default/files/documents/news/fkb-geschaeftsbericht-2019.pdf"
Banque Cantonale de Fribourg;DE;AR;2018;"https://www.bcf.ch/sites/default/files/documents/news/fkb-geschaeftsbericht-2018_0.pdf"
Banque Cantonale de Fribourg;DE;AR;2017;"https://www.bcf.ch/sites/default/files/documents/news/fkb-geschaeftsbericht-2017.pdf"
Banque Cantonale de Fribourg;DE;AR;2016;"https://www.bcf.ch/sites/default/files/documents/news/fkb-geschaeftsbericht-2016.pdf"
Banque Cantonale de Fribourg;DE;AR;2015;"https://www.bcf.ch/sites/default/files/fkb-geschaeftsbericht-2015.pdf"
