company;language;report_type;year;link
Banque Cantonale de Genève;EN;AR;2019;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2019-en.pdf"
Banque Cantonale de Genève;EN;AR;2018;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2018-en.pdf"
Banque Cantonale de Genève;EN;AR;2017;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2017-en.pdf"
Banque Cantonale de Genève;EN;AR;2016;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2016-en.pdf"
Banque Cantonale de Genève;EN;AR;2015;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2015-en.pdf"
Banque Cantonale de Genève;EN;AR;2014;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2014-en.pdf"
Banque Cantonale de Genève;EN;AR;2013;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2013-en.pdf"
Banque Cantonale de Genève;EN;AR;2012;"https://www.bcge.ch/pdf/rapport-annuel-2012-en.pdf"
Banque Cantonale de Genève;EN;AR;2011;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2011-en.pdf"
Banque Cantonale de Genève;EN;AR;2010;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2010-en.pdf"
Banque Cantonale de Genève;EN;AR;2009;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2009-en.pdf"
Banque Cantonale de Genève;EN;AR;2008;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2008-en.pdf"
Banque Cantonale de Genève;FR;AR;2019;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2019-fr.pdf"
Banque Cantonale de Genève;FR;AR;2018;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2018-fr.pdf"
Banque Cantonale de Genève;FR;AR;2017;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2017-fr.pdf"
Banque Cantonale de Genève;FR;AR;2016;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2016-fr.pdf"
Banque Cantonale de Genève;FR;AR;2015;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2015-fr.pdf"
Banque Cantonale de Genève;FR;AR;2014;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2014-fr.pdf"
Banque Cantonale de Genève;FR;AR;2013;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2013.pdf"
Banque Cantonale de Genève;FR;AR;2012;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2012.pdf"
Banque Cantonale de Genève;FR;AR;2011;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2011.pdf"
Banque Cantonale de Genève;FR;AR;2010;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2010.pdf"
Banque Cantonale de Genève;FR;AR;2009;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2009.pdf"
Banque Cantonale de Genève;FR;AR;2008;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2008.pdf"
Banque Cantonale de Genève;FR;AR;2007;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2007.pdf"
Banque Cantonale de Genève;FR;AR;2006;"https://www.bcge.ch/pdf/rapport-annuel-bcge-2006.pdf"
Banque Cantonale de Genève;FR;AR;2005;"https://www.bcge.ch/pdf/rapport-annuel-BCGE-2005.pdf"
Banque Cantonale de Genève;FR;AR;2004;"https://www.bcge.ch/pdf/rapport04.pdf"
Banque Cantonale de Genève;FR;AR;2003;"https://www.bcge.ch/pdf/rapp_annu_03.pdf"
