company;language;report_type;year;link
Banque Cantonale du Valais;DE;AR;2019;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/2020/WKB-Gesch%C3%A4ftsbericht_2019.pdf"
Banque Cantonale du Valais;DE;AR;2018;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Gesch%C3%A4ftsbericht_WKB_2018.pdf"
Banque Cantonale du Valais;DE;AR;2017;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Gesch%C3%A4ftsbericht_WKB_2017.pdf"
Banque Cantonale du Valais;DE;AR;2016;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Gesch%C3%A4ftsbericht_2016_der_WKB_-_Voll_Version.pdf"
Banque Cantonale du Valais;DE;AR;2015;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Geschaeftsbericht_2015.pdf"
Banque Cantonale du Valais;DE;AR;2014;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Geschaeftsbericht2014WKB.pdf"
Banque Cantonale du Valais;DE;AR;2013;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Geschaeftsbericht2013WKB.pdf"
Banque Cantonale du Valais;DE;AR;2012;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/WKB_Geschaeftsbericht_2012.pdf"
Banque Cantonale du Valais;DE;AR;2011;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/WKB_Geschaeftsbericht_2011_-_Indexiert_Version.pdf"
Banque Cantonale du Valais;DE;AR;2010;"https://www.bcvs.ch/fileadmin/site/publications/2010/DE/WKB_Geschaeftsbericht_2010_DE.pdf"
Banque Cantonale du Valais;DE;AR;2009;"https://www.bcvs.ch/fileadmin/site/publications/2009/DE/WKB_Geschaeftsbericht_2009_DE.pdf"
Banque Cantonale du Valais;DE;AR;2008;"https://www.bcvs.ch/fileadmin/site/publications/2008/DE/WKB_Geschaeftsbericht2008_DE.pdf"
Banque Cantonale du Valais;FR;AR;2019;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/2020/Rapport_de_gestion_BCVs_2019.pdf"
Banque Cantonale du Valais;FR;AR;2018;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_de_gestion_BCVs_2018.pdf"
Banque Cantonale du Valais;FR;AR;2017;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_de_gestion_BCVs_2017.pdf"
Banque Cantonale du Valais;FR;AR;2016;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_de_gestion_2016_BCVs_-_version_int%C3%A9grale.pdf"
Banque Cantonale du Valais;FR;AR;2015;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_de_Gestion_2015.pdf"
Banque Cantonale du Valais;FR;AR;2014;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/RapportAnnuel2014BCVs.pdf"
Banque Cantonale du Valais;FR;AR;2013;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/RapportAnnuel2013BCVs.pdf"
Banque Cantonale du Valais;FR;AR;2012;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_annuel_2012_BCVs.pdf"
Banque Cantonale du Valais;FR;AR;2011;"https://www.bcvs.ch/fileadmin/site/la-bcvs/Publication/Rapport_annuel/Rapport_Annuel_BCVs_2011_-_Version_index%C3%A9e.pdf"
Banque Cantonale du Valais;FR;AR;2010;"https://www.bcvs.ch/fileadmin/site/publications/2010/FR/BCVs_rapportannuel_2010_FR.pdf"
Banque Cantonale du Valais;FR;AR;2009;"https://www.bcvs.ch/fileadmin/site/publications/2009/FR/BCVS_rapportannuel_2009_FR.pdf"
Banque Cantonale du Valais;FR;AR;2008;"https://www.bcvs.ch/fileadmin/site/publications/2008/FR/BCVs_RapportAnnuel_2008_FR.pdf"
