company;language;report_type;year;link
Basler Kantonalbank;DE;AR;2019;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2019/bkb-geschaeftsbericht-2019.pdf"
Basler Kantonalbank;DE;SR;2019;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2019/bkb-nachhaltigkeit-2019.pdf"
Basler Kantonalbank;DE;AR;2018;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2018/bkb_jahresmagazin_2018.pdf"
Basler Kantonalbank;DE;FR;2018;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2018/bkb_finanzbericht_2018.pdf"
Basler Kantonalbank;DE;SR;2018;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2018/bkb-nachhaltigkeitsbericht-2018.pdf"
Basler Kantonalbank;DE;AR;2017;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2017/jahresmagazin-2017.pdf"
Basler Kantonalbank;DE;FR;2017;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2017/finanzbericht-2017.pdf"
Basler Kantonalbank;DE;SR;2017;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2017/nachhaltigkeitsbericht-2017.pdf"
Basler Kantonalbank;DE;AR;2016;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2016/jahresbericht-2016.pdf"
Basler Kantonalbank;DE;FR;2016;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2016/finanzbericht-2016.pdf"
Basler Kantonalbank;DE;SR;2016;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2016/nachhaltigkeit-2016-im-berblick.pdf"
Basler Kantonalbank;DE;AR;2015;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2015/jahresbericht-2015.pdf"
Basler Kantonalbank;DE;FR;2015;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2015/finanzbericht-2015.pdf"
Basler Kantonalbank;DE;SR;2015;"https://www.bkb.ch/de/-/media/bkb/website/pdf/berichte-und-praesentationen/2015/nachhaltigkeitsbericht-2015.pdf"
