company;language;report_type;year;link
Berner Kantonalbank;DE;AR;2017;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2017.pdf?la=de&vs=2&hash=EE6795F9C0E460B6DEEC85F2424ECBDD89E8F3B4"
Berner Kantonalbank;DE;AR;2016;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2016.pdf?la=de&vs=1&hash=E67B00024C8374C9BA007C9D6F38AF573AD80A65"
Berner Kantonalbank;DE;AR;2015;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2015.pdf?la=de&vs=1&hash=4B588CF8742C0BF466046B580E3E71DBB3C9993D"
Berner Kantonalbank;DE;AR;2014;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2014.pdf?la=de&vs=1&hash=1B3E62F1B4C77B605E3718B83336D2CA9CA14B3D"
Berner Kantonalbank;DE;AR;2013;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2013.pdf?la=de&vs=1&hash=045E22AD3D3C6CE639C3CE2EC34007B0AFE7C191"
Berner Kantonalbank;DE;AR;2012;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2012.pdf?la=de&vs=1&hash=49B7AF6121EF4ADA090A70B5F178DB012813C829"
Berner Kantonalbank;DE;AR;2011;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2011.pdf?la=de&vs=1&hash=F4A48D8172293E90F6C91375228289356B0410C6"
Berner Kantonalbank;DE;AR;2010;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2010.pdf?la=de&vs=1&hash=756748648B343392CB91D8F56D539BC2725BC425"
Berner Kantonalbank;DE;AR;2009;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2009.pdf?la=de&vs=1&hash=855015C557FAC1969985D9E78927BCDA835EE790"
Berner Kantonalbank;DE;SR;2017;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-nachhaltigkeitsbericht-2017.pdf?la=de&vs=1&hash=518970F3E4B163C84AE9CD5981415237CBBE353B"
Berner Kantonalbank;DE;SR;2016;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-nachhaltigkeitsbericht-2016.pdf?la=de&vs=1&hash=157776CE6EB2AB73FD9BF7A2D095991BE4BD9245"
Berner Kantonalbank;DE;SR;2015;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-nachhaltigkeitsbericht-2015.pdf?la=de&vs=1&hash=DD874D517D188A7061CC51FB25B1B6312C6BE6BF"
Berner Kantonalbank;DE;SR;2018;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-nachhaltigkeitsbericht-2018.pdf?la=de&vs=1&hash=BD374C286F21CC1C36908E54D037861A575B367D"
Berner Kantonalbank;DE;AR;2018;"https://www.bekb.ch/-/media/bekb/portal/documents/ueber-bekb/publikationen/berichterstattung/bekb-geschaeftsbericht-2018.pdf?la=de&vs=1&hash=31AE089792EA19275068D03272A5770847024759"
