company;language;report_type;year;link
Bucher Industries AG;EN;AR;2018;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=1964&token=a1555640d6b0a344ebeaa929e32103f90ce69217"
Bucher Industries AG;EN;AR;2017;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=703&token=aba2703d856673652a23c4f1ddc120f3de96f678"
Bucher Industries AG;EN;AR;2016;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=710&token=226d09fd31178566b7af391de01d76e02d88cd6c"
Bucher Industries AG;EN;AR;2015;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=717&token=b06421b3c16131e74f2d4e9f7256c573b2608e8b"
Bucher Industries AG;EN;AR;2014;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=724&token=2fcd994326c838da3aa2d820954acec16fe8023a"
Bucher Industries AG;EN;AR;2013;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=731&token=5fc86e5cf589e8acf095a7ccad33942f46efae71"
Bucher Industries AG;EN;AR;2012;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=738&token=e1fde38f6c10508fc845ecf77036a4c7c793291d"
Bucher Industries AG;EN;AR;2011;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=745&token=d703d16ae0ef9dfe771e3a87ba6ce96fd116b1af"
Bucher Industries AG;EN;AR;2010;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=752&token=b04a7bf200c95fe46c0a4004c0554e2244de625f"
Bucher Industries AG;EN;AR;2009;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=759&token=626fa283f7f36f9326c53a9763f4526c89d77bc5"
Bucher Industries AG;EN;AR;2008;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=766&token=ec05fe2d4477a9ec03c4b81282f4afd38cfb92a3"
Bucher Industries AG;EN;AR;2007;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=771&token=85a0c39537fb5aab98b52cf16a27019ba0252180"
Bucher Industries AG;EN;SR;2018;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=2062&token=b4fa72acd8afadf0d722f59f673bda6d7a2d0ede"
Bucher Industries AG;EN;SR;2017;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=681&token=5b900f4af977999b69308a962ab383e1a4bf1d9f"
Bucher Industries AG;EN;SR;2016;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=683&token=c8cfae00f632d0f03a8ef5e8c975f4054ba2f2ee"
Bucher Industries AG;EN;SR;2015;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=680&token=451ba8199eefcc0ae575711c9bca78df43b15370"
Bucher Industries AG;EN;SR;2014;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=682&token=2db30fe4fa2d7a80ed4a4c672527c4e6c1209dcd"
Bucher Industries AG;EN;GRI;2014;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=679&token=b351976af21aa31417d0bd1ad80c8fca948bb16c"
Bucher Industries AG;EN;SR;2013;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=684&token=ecd4a7ec67d011a1835be63d62895b5fabe06ac0"
Bucher Industries AG;EN;GRI;2013;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=678&token=1bc70c2987dd79b8be347fae3f37e98b16bc15bd"
Bucher Industries AG;DE;AR;2018;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=1957&token=e1338cc4421b194f2b6e1b110be9b2ad8ba85e1e"
Bucher Industries AG;DE;AR;2017;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=643&token=3c333d12269d7867ec9ad6e7f39f589e3fa1254b"
Bucher Industries AG;DE;AR;2016;"https://www.bucherindustries.com/index.php?eID=dumpFile&t=f&f=636&token=988980cdaf66362b4fb9404f9e157b9ebc5a9a60"
