company;language;report_type;year;link
Bâloise Holding AG;DE;AR;2018;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2018/geschaeftsbericht-baloise-group-2018.pdf"
Bâloise Holding AG;EN;AR;2018;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2018/annual-report-baloise-group-2018.pdf"
Bâloise Holding AG;DE;AR;2017;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2017/geschaeftsbericht-baloise-group-2017.pdf"
Bâloise Holding AG;EN;AR;2017;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2017/annual-report-baloise-group-2017.pdf"
Bâloise Holding AG;DE;AR;2016;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2016/geschaeftsbericht-baloise-group-2016.pdf"
Bâloise Holding AG;EN;AR;2016;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2016/annual-report-baloise-group-2016.pdf"
Bâloise Holding AG;DE;AR;2015;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2015/geschaeftsbericht-2015"
Bâloise Holding AG;EN;AR;2015;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2015/annual-report-2015"
Bâloise Holding AG;DE;AR;2014;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2014/Geschaeftsbericht-2014"
Bâloise Holding AG;EN;AR;2014;"https://www.baloise.com/dam/baloise-com/documents/en/publications/half-year-results/half-year-report/2014/Baloise_SB2014_en.pdf"
Bâloise Holding AG;DE;AR;2019;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2019/geschaeftsbericht-baloise-group-2019.pdf"
Bâloise Holding AG;EN;AR;2019;"https://www.baloise.com/dam/baloise-com/documents/de/publikationen/jahresabschluss/2019/annual-report-baloise-group-2019.pdf"
