company;language;report_type;year;link
Clariant AG;EN;AR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_integrated_report_2019_en.pdf"
Clariant AG;DE;AR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_integrierter_bericht_2019_de.pdf"
Clariant AG;EN;CG;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_corporate_governance_report_2019_en.pdf"
Clariant AG;DE;CG;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_corporate_governance_bericht_2019_de.pdf"
Clariant AG;EN;CR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_compensation_report_2019_en.pdf"
Clariant AG;DE;CR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_verguetungsbericht_2019_de.pdf"
Clariant AG;EN;FR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_financial_report_2019_en.pdf"
Clariant AG;DE;FR;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_finanzbericht_2019_de.pdf"
Clariant AG;EN;GRI;2019;"http://reports.clariant.com/2019/integrated-report/servicepages/downloads/files/clariant_integrated_report_gri_report_2019_en.pdf"
Clariant AG;EN;AR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/integrated_report_clariant_ar2018.pdf"
Clariant AG;DE;AR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/integrierter_bericht_clariant_ar2018.pdf"
Clariant AG;EN;CG;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/corporate_governance_report_clariant_ar2018.pdf"
Clariant AG;DE;CG;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/corporate_governance_bericht_clariant_ar2018.pdf"
Clariant AG;EN;CR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/compensation_report_clariant_ar2018.pdf"
Clariant AG;DE;CR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/verguetungsbericht_clariant_ar2018.pdf"
Clariant AG;EN;FR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/financial_report_clariant_ar2018.pdf"
Clariant AG;DE;FR;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/finanzbericht_clariant_ar2018.pdf"
Clariant AG;EN;GRI;2018;"http://reports.clariant.com/2018/integrated-report/servicepages/downloads/files/gri_report_2018_clariant_gri2018.pdf"
Clariant AG;EN;AR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/integrated_report_clariant_ar2017.pdf"
Clariant AG;DE;AR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/integrierter_bericht_clariant_ar2017.pdf"
Clariant AG;EN;CG;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/corporate_governance_report_clariant_ar2017.pdf"
Clariant AG;DE;CG;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/corporate_governance_bericht_clariant_ar2017.pdf"
Clariant AG;EN;CR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/compensation_report_clariant_ar2017.pdf"
Clariant AG;DE;CR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/verguetungsbericht_clariant_ar2017.pdf"
Clariant AG;EN;FR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/financial_report_clariant_ar2017.pdf"
Clariant AG;DE;FR;2017;"http://reports.clariant.com/2017/integrated-report/servicepages/downloads/files/finanzbericht_clariant_ar2017.pdf"
Clariant AG;EN;AR;2016;"http://reports.clariant.com/2016/integrated-report/servicepages/downloads/files/entire_clariant_ar2016.pdf"
Clariant AG;DE;AR;2016;"http://reports.clariant.com/2016/integrated-report/servicepages/downloads/files/gesamt_clariant_gb2016.pdf"
Clariant AG;EN;SR;2016;"http://reports.clariant.com/2016/sustainability-report/servicepages/downloads/files/entire_clariant_csr2016.pdf"
Clariant AG;DE;SR;2016;"http://reports.clariant.com/2016/sustainability-report/servicepages/downloads/files/gesamt_clariant_csr2016.pdf"
