company;language;report_type;year;link
Compagnie Financière Richemont SA;EN;AR;2018;"https://www.richemont.com/images/investor_relations/reports/annual_report/2018/ar_fy2018_jds93c783aw6e.pdf"
Compagnie Financière Richemont SA;EN;AR;2017;"https://www.richemont.com/images/investor_relations/reports/annual_report/2017/ar_fy2017_f73jdsf82s64r2.pdf"
Compagnie Financière Richemont SA;EN;AR;2016;"https://www.richemont.com/images/investor_relations/reports/annual_report/2016/ar_fy2016_d92nb1vdf73tb.pdf"
Compagnie Financière Richemont SA;EN;AR;2015;"https://www.richemont.com/images/investor_relations/reports/annual_report/2015/ar_fy2015_h68qw95aw9b.pdf"
Compagnie Financière Richemont SA;EN;AR;2014;"https://www.richemont.com/images/investor_relations/reports/annual_report/2014/ar_fy2014_s92mf72js8.pdf"
Compagnie Financière Richemont SA;EN;AR;2013;"https://www.richemont.com/images/investor_relations/reports/annual_report/2013/ar_fy2013_d83fg7s.pdf"
Compagnie Financière Richemont SA;EN;AR;2012;"https://www.richemont.com/images/investor_relations/reports/annual_report/2012/ar_fy2012_f8s6jhd843e.pdf"
Compagnie Financière Richemont SA;EN;AR;2011;"https://www.richemont.com/images/investor_relations/reports/annual_report/2011/ar_fy2011_re64f5rd9.pdf"
Compagnie Financière Richemont SA;EN;AR;2010;"https://www.richemont.com/images/investor_relations/reports/annual_report/2010/richemont_ar2010.pdf"
Compagnie Financière Richemont SA;EN;AR;2009;"https://www.richemont.com/images/investor_relations/reports/annual_report/2009/richemont_ar.pdf"
Compagnie Financière Richemont SA;EN;AR;2008;"https://www.richemont.com/images/investor_relations/reports/annual_report/2008/richemont_ar.pdf"
Compagnie Financière Richemont SA;EN;AR;2007;"https://www.richemont.com/images/investor_relations/reports/annual_report/2007/richemont_annual_report_2007.pdf"
Compagnie Financière Richemont SA;EN;AR;2006;"https://www.richemont.com/images/investor_relations/reports/annual_report/2006/richemont_annual_report_2006.pdf"
Compagnie Financière Richemont SA;EN;AR;2005;"https://www.richemont.com/images/investor_relations/reports/annual_report/2005/richemont_annual_report_2005.pdf"
Compagnie Financière Richemont SA;EN;AR;2004;"https://www.richemont.com/images/investor_relations/reports/annual_report/2004/richemont_annual_report_2004.pdf"
Compagnie Financière Richemont SA;EN;AR;2003;"https://www.richemont.com/images/investor_relations/reports/annual_report/2003/richemont_annual_report_2003.pdf"
Compagnie Financière Richemont SA;EN;AR;2002;"https://www.richemont.com/images/investor_relations/reports/annual_report/2002/richemont_annual_report_2002.pdf"
Compagnie Financière Richemont SA;EN;AR;2001;"https://www.richemont.com/images/investor_relations/reports/annual_report/2001/richemont_annual_report_2001.pdf"
Compagnie Financière Richemont SA;EN;AR;2000;"https://www.richemont.com/images/investor_relations/reports/annual_report/2000/richemont_annual_report_2000.pdf"
Compagnie Financière Richemont SA;EN;AR;1999;"https://www.richemont.com/images/investor_relations/reports/annual_report/1999/richemont_annual_report_1999.pdf"
Compagnie Financière Richemont SA;EN;AR;1998;"https://www.richemont.com/images/investor_relations/reports/annual_report/1998/richemont_annual_report_1998.pdf"
Compagnie Financière Richemont SA;EN;AR;1997;"https://www.richemont.com/images/investor_relations/reports/annual_report/1997/richemont_annual_report_1997.pdf"
Compagnie Financière Richemont SA;EN;AR;1996;"https://www.richemont.com/images/investor_relations/reports/annual_report/1996/richemont_annual_report_1996.pdf"
Compagnie Financière Richemont SA;EN;AR;1995;"https://www.richemont.com/images/investor_relations/reports/annual_report/1995/ar_1995.pdf"
Compagnie Financière Richemont SA;EN;AR;1994;"https://www.richemont.com/images/investor_relations/reports/annual_report/1994/ar_1994.pdf"
Compagnie Financière Richemont SA;EN;AR;1993;"https://www.richemont.com/images/investor_relations/reports/annual_report/1993/ar_1993.pdf"
Compagnie Financière Richemont SA;EN;AR;1992;"https://www.richemont.com/images/investor_relations/reports/annual_report/1992/ar_1992.pdf"
Compagnie Financière Richemont SA;EN;AR;1991;"https://www.richemont.com/images/investor_relations/reports/annual_report/1991/ar_1991.pdf"
Compagnie Financière Richemont SA;EN;AR;1990;"https://www.richemont.com/images/investor_relations/reports/annual_report/1990/ar_1990.pdf"
Compagnie Financière Richemont SA;EN;AR;1989;"https://www.richemont.com/images/investor_relations/reports/annual_report/1989/ar_1989.pdf"
Compagnie Financière Richemont SA;EN;SR;2017;"https://www.richemont.com/images/csr/2017/csr_report_2017.pdf"
Compagnie Financière Richemont SA;EN;SR;2016;"https://www.richemont.com/images/csr/2016/csr_report_2016.pdf"
Compagnie Financière Richemont SA;EN;SR;2015;"https://www.richemont.com/images/csr/2015/csr_report_2015.pdf"
Compagnie Financière Richemont SA;EN;SR;2014;"https://www.richemont.com/images/csr/2014/csr_report_30062014.pdf"
Compagnie Financière Richemont SA;EN;SR;2013;"https://www.richemont.com/images/csr/2013/csr_report_2013.pdf"
Compagnie Financière Richemont SA;EN;SR;2012;"https://www.richemont.com/images/csr/2012/csr_report_2012.pdf"
Compagnie Financière Richemont SA;EN;SR;2019;"https://www.richemont.com/images/investor_relations/reports/annual_report/2019/ar_fy2019_a8rnc73bd29jwd.pdf"
