company;language;report_type;year;link
Coop Genossenschaft;EN;AR;2018;"https://report.coop.ch/app/uploads/Coop_GB18_en.pdf"
Coop Genossenschaft;EN;SR;2018;"https://report.coop.ch/app/uploads/coop-fortschrittsbericht-nachhaltigkeit-2018_en.pdf"
Coop Genossenschaft;EN;AR;2017;"https://report.coop.ch/app/uploads/Coop_GB17_en.pdf"
Coop Genossenschaft;EN;SR;2017;"https://report.coop.ch/app/uploads/coop-fortschrittsbericht-nachhaltigkeit-2017_en.pdf"
Coop Genossenschaft;EN;AR;2016;"https://report.coop.ch/app/uploads/Coop_GB_2016_en.pdf"
Coop Genossenschaft;EN;SR;2016;"https://report.coop.ch/app/uploads/COOP-Fortschrittsbericht-Nachhaltigkeit_E_2016.pdf"
Coop Genossenschaft;EN;AR;2015;"https://report.coop.ch/app/uploads/COOP_GB_2015_e_low.pdf"
Coop Genossenschaft;EN;SR;2015;"https://report.coop.ch/app/uploads/COOP_NHB_2015_e_low.pdf"
Coop Genossenschaft;EN;AR;2014;"https://report.coop.ch/app/uploads/COOP_GB_2014_e_low.pdf"
Coop Genossenschaft;EN;SR;2014;"https://report.coop.ch/app/uploads/COOP_NHB_2014_e_low.pdf"
Coop Genossenschaft;EN;AR;2013;"https://report.coop.ch/app/uploads/COOP_GB_2013_e_low.pdf"
Coop Genossenschaft;EN;SR;2013;"https://report.coop.ch/app/uploads/COOP_NHB_2013_e_low.pdf"
Coop Genossenschaft;EN;AR;2012;"https://report.coop.ch/app/uploads/COOP_GB_2012_e_low.pdf"
Coop Genossenschaft;EN;SR;2012;"https://report.coop.ch/app/uploads/COOP_NHB_2012_e_low.pdf"
Coop Genossenschaft;EN;AR;2011;"https://report.coop.ch/app/uploads/COOP_GB_2011_e_low.pdf"
Coop Genossenschaft;EN;SR;2011;"https://report.coop.ch/app/uploads/COOP_NHB_2011_e_low.pdf"
Coop Genossenschaft;EN;AR;2010;"https://report.coop.ch/app/uploads/COOP_GB_2010_e_low.pdf"
Coop Genossenschaft;EN;SR;2010;"https://report.coop.ch/app/uploads/COOP_NHB_2010_e_low.pdf"
