company;language;report_type;year;link
Credit Suisse Group AG;EN;AR;2007;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2007-en.pdf"
Credit Suisse Group AG;EN;SR;2007;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2007-en.pdf"
Credit Suisse Group AG;EN;AR;2008;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2008-en.pdf"
Credit Suisse Group AG;EN;SR;2008;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2008-en.pdf"
Credit Suisse Group AG;EN;AR;2009;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2009-en.pdf"
Credit Suisse Group AG;EN;SR;2009;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2009-en.pdf"
Credit Suisse Group AG;EN;AR;2010;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2010-en.pdf"
Credit Suisse Group AG;EN;SR;2010;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2010-en.pdf"
Credit Suisse Group AG;EN;AR;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2011-en.pdf"
Credit Suisse Group AG;EN;CR;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar11-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2011-en.pdf"
Credit Suisse Group AG;EN;AR;2012;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2012-en.pdf"
Credit Suisse Group AG;EN;SR;2012;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2012-en.pdf"
Credit Suisse Group AG;EN;AR;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2013-en.pdf"
Credit Suisse Group AG;EN;CR;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar13-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2013-en.pdf"
Credit Suisse Group AG;EN;AR;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2014-en.pdf"
Credit Suisse Group AG;EN;CR;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar14-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2014-en.pdf"
Credit Suisse Group AG;EN;AR;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2015-en.pdf"
Credit Suisse Group AG;EN;CR;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar15-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2015-en.pdf"
Credit Suisse Group AG;EN;AR;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2016-en.pdf"
Credit Suisse Group AG;EN;CR;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar16-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2016-en.pdf"
Credit Suisse Group AG;EN;AR;2017;"https://www.credit-suisse.com/media/assets/about-us/docs/investor-relations/financial-regulatory-disclosures/financial-reports/csg-ar-2017-en.pdf"
Credit Suisse Group AG;EN;CR;2017;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar17-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2017;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2017-en.pdf"
Credit Suisse Group AG;EN;AR;2018;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2018-en.pdf"
Credit Suisse Group AG;EN;CR;2018;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar18-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2018;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2018-en.pdf"
Credit Suisse Group AG;DE;AR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2019-de.pdf"
Credit Suisse Group AG;DE;CR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar19-compensation-de.pdf"
Credit Suisse Group AG;DE;SR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2019-de.pdf"
Credit Suisse Group AG;EN;AR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2019-en.pdf"
Credit Suisse Group AG;EN;CR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar19-compensation-en.pdf"
Credit Suisse Group AG;EN;SR;2019;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2019-en.pdf"
