company;language;report_type;year;link
Credit Suisse;EN;GB;2007;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2007-en.pdf"
Credit Suisse;EN;NB;2007;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2007-en.pdf"
Credit Suisse;EN;GB;2008;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2008-en.pdf"
Credit Suisse;EN;NB;2008;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2008-en.pdf"
Credit Suisse;EN;GB;2009;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2009-en.pdf"
Credit Suisse;EN;NB;2009;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ccr-2009-en.pdf"
Credit Suisse;EN;GB;2010;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2010-en.pdf"
Credit Suisse;EN;NB;2010;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2010-en.pdf"
Credit Suisse;EN;GB;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2011-en.pdf"
Credit Suisse;EN;VB;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar11-compensation-en.pdf"
Credit Suisse;EN;NB;2011;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2011-en.pdf"
Credit Suisse;EN;GB;2012;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2012-en.pdf"
Credit Suisse;EN;NB;2012;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2012-en.pdf"
Credit Suisse;EN;GB;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2013-en.pdf"
Credit Suisse;EN;VB;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar13-compensation-en.pdf"
Credit Suisse;EN;NB;2013;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2013-en.pdf"
Credit Suisse;EN;GB;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2014-en.pdf"
Credit Suisse;EN;VB;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar14-compensation-en.pdf"
Credit Suisse;EN;NB;2014;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2014-en.pdf"
Credit Suisse;EN;GB;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2015-en.pdf"
Credit Suisse;EN;VB;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar15-compensation-en.pdf"
Credit Suisse;EN;NB;2015;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2015-en.pdf"
Credit Suisse;EN;GB;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2016-en.pdf"
Credit Suisse;EN;VB;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar16-compensation-en.pdf"
Credit Suisse;EN;NB;2016;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2016-en.pdf"
Credit Suisse;EN;GB;2017;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar-2017-en.pdf"
Credit Suisse;EN;VB;2017;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-ar17-compensation-en.pdf"
Credit Suisse;EN;NB;2017;"https://www.credit-suisse.com/media/assets/corporate/docs/about-us/investor-relations/financial-disclosures/financial-reports/csg-crr-2017-en.pdf"
