company;language;report_type;year;link
Dufry AG;EN;AR;2018;"https://www.dufry.com/sites/default/files/document/2019-03/Annual_Report.pdf"
Dufry AG;EN;AR;2017;"https://www.dufry.com/sites/default/files/document/2018-03/Annual%20Report%20E%20complete.pdf"
Dufry AG;EN;AR;2016;"https://www.dufry.com/sites/default/files/document/2017-03/Dufry-Annual_Report-2016--EN_2.pdf"
Dufry AG;EN;AR;2015;"https://www.dufry.com/sites/default/files/document/2017-09/AR%202015%20EN%20Complete%20HD.pdf"
Dufry AG;EN;AR;2014;"https://www.dufry.com/sites/default/files/document/2017-01/DUFRY_ANNUAL_REPORT_2014_COMPL.pdf"
Dufry AG;EN;AR;2013;"https://www.dufry.com/sites/default/files/document/2017-01/DUFRY_AR13_140307_WEB.pdf"
Dufry AG;EN;AR;2012;"https://www.dufry.com/sites/default/files/document/2017-01/ANNUALREP2012COMPLETE-5022KB.pdf"
Dufry AG;EN;AR;2011;"https://www.dufry.com/sites/default/files/document/2017-01/ANNUAL_REPORT_COMPLETE_VERSION.pdf"
Dufry AG;EN;AR;2010;"https://www.dufry.com/sites/default/files/document/2017-01/AR_2010_COMPLETE.pdf"
Dufry AG;EN;AR;2019;"https://www.dufry.com/sites/default/files/document/2020-03/Annual%20Report%202019.pdf"
Dufry AG;EN;SR;2019;"https://www.dufry.com/sites/default/files/document/2020-03/Sustainability%20Report%202019.pdf"
