company;language;report_type;year;link
Ems Chemie;DE;AR;2019;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/gb_2018_2019_ems_chemie_D_WEB.pdf"
Ems Chemie;EN;AR;2019;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/gb_2018_2019_ems_chemie_E_WEB.pdf"
Ems Chemie;DE;AR;2018;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS_GB_2017_2018_de.pdf"
Ems Chemie;EN;AR;2018;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS_GB_2017_2018_en.pdf"
Ems Chemie;DE;AR;2017;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_16_17_de.pdf"
Ems Chemie;EN;AR;2017;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_16_17_en.pdf"
Ems Chemie;DE;AR;2016;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_15_16_de.pdf"
Ems Chemie;EN;AR;2016;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_15_16_en.pdf"
Ems Chemie;DE;AR;2015;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_14_15_de.pdf"
Ems Chemie;EN;AR;2015;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_14_15_en.pdf"
Ems Chemie;DE;AR;2014;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_13_14_de.pdf"
Ems Chemie;EN;AR;2014;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_13_14_en.pdf"
Ems Chemie;DE;AR;2013;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_12_13_de.pdf"
Ems Chemie;EN;AR;2013;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_12_13_en.pdf"
Ems Chemie;DE;AR;2012;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_11_12_de.pdf"
Ems Chemie;EN;AR;2012;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_11_12_en.pdf"
Ems Chemie;DE;AR;2011;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_10_11_de.pdf"
Ems Chemie;EN;AR;2011;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_10_11_en.pdf"
Ems Chemie;DE;AR;2010;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_09_10_de.pdf"
Ems Chemie;EN;AR;2010;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_09_10_en.pdf"
Ems Chemie;DE;AR;2009;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_08_09_de.pdf"
Ems Chemie;EN;AR;2009;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_08_09_en.pdf"
Ems Chemie;DE;AR;2008;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_07_08_de.pdf"
Ems Chemie;EN;AR;2008;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_07_08_en.pdf"
Ems Chemie;DE;AR;2007;"https://www.ems-group.com/fileadmin/ems-gruppe/documents/GB/EMS-GB_06_07_de.pdf"
