company;language;report_type;year;link
Finma;DE;AR;2019;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20200402_finma_jahresbericht_2019.pdf"
Finma;DE;FR;2019;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20200402_finma_jahresrechnung_2019.pdf"
Finma;DE;AR;2018;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20190404-finma-jahresbericht-2018.pdf"
Finma;DE;FR;2018;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20190404-finma-jahresrechnung-2018.pdf"
Finma;DE;AR;2017;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20180327-jahresbericht-2017.pdf"
Finma;DE;FR;2017;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20180327-jahresrechnung-2017.pdf"
Finma;DE;AR;2016;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20170404_fin_jb16.pdf"
Finma;DE;FR;2016;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20170404_fin_jr16.pdf"
Finma;DE;AR;2015;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20160407-finma-jb15.pdf"
Finma;DE;FR;2015;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/20160407-finma-jr15.pdf"
Finma;DE;AR;2014;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb14_d_finma.pdf"
Finma;DE;FR;2014;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jr14_d_finma.pdf"
Finma;DE;AR;2013;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb13_d_finma.pdf"
Finma;DE;FR;2013;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/finma_jahresrechnung_2013_de.pdf"
Finma;DE;AR;2012;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb12_d_finma.pdf"
Finma;DE;FR;2012;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jr12_d_finma.pdf"
Finma;DE;AR;2011;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb11_d_finma.pdf"
Finma;DE;FR;2011;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jr11_d_finma.pdf"
Finma;DE;AR;2010;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb10_d_finma.pdf"
Finma;DE;FR;2010;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jr10_d_finma.pdf"
Finma;DE;AR;2009;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jb09_d_finma.pdf"
Finma;DE;FR;2009;"https://finma.ch/de/~/media/finma/dokumente/dokumentencenter/myfinma/finma-publikationen/geschaeftsbericht/jr09_d_finma.pdf"
