company;language;report_type;year;link
Flughafen Zürich;EN;AR;2019;"https://report.flughafen-zuerich.ch/2019/ar/app/uploads/FHZN_Annual_Report_2019.pdf"
Flughafen Zürich;DE;AR;2019;"https://report.flughafen-zuerich.ch/2019/ar/app/uploads/FHZN_Geschaeftsbericht_2019.pdf"
Flughafen Zürich;DE;AR;2018;"https://report.flughafen-zuerich.ch/2018/ar/app/uploads/2019/03/FHZN_Geschaeftsbericht_2018.pdf"
Flughafen Zürich;DE;AR;2018;"https://report.flughafen-zuerich.ch/2018/ar/app/uploads/2019/03/FHZN_Annual_Report_2018.pdf"
Flughafen Zürich;DE;AR;2017;"https://report.flughafen-zuerich.ch/app/uploads/sites/2/2018/03/FHZN_Geschaeftsbericht_2017.pdf"
Flughafen Zürich;DE;AR;2016;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2016_de_komplett.pdf"
Flughafen Zürich;DE;AR;2015;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2015_de_komplett.pdf"
Flughafen Zürich;DE;AR;2014;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2014_de_komplett_20150317.pdf"
Flughafen Zürich;DE;AR;2013;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2013_de_komplett.pdf"
Flughafen Zürich;DE;AR;2012;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2012_d_komplett.pdf"
Flughafen Zürich;DE;AR;2011;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/geschaeftsbericht_2011.pdf"
Flughafen Zürich;DE;AR;2010;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/geschaeftsbericht_2010.pdf"
Flughafen Zürich;DE;AR;2009;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/flughafen_zuerich_geschaeftsbericht09_d.pdf"
Flughafen Zürich;DE;AR;2008;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht08_d.pdf"
Flughafen Zürich;DE;AR;2007;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht07_d.pdf"
Flughafen Zürich;DE;AR;2006;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht06_d.pdf"
Flughafen Zürich;DE;AR;2005;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht05_d.pdf"
Flughafen Zürich;DE;AR;2004;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht04_d.pdf"
Flughafen Zürich;DE;AR;2003;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht03_d.pdf"
Flughafen Zürich;DE;AR;2002;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht02_d.pdf"
Flughafen Zürich;DE;AR;2001;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht01_d.pdf"
Flughafen Zürich;DE;AR;2000;"https://www.flughafen-zuerich.ch/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht00_d.pdf"
Flughafen Zürich;EN;AR;2016;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2016_en_komplett.pdf"
Flughafen Zürich;EN;AR;2015;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2015_en_komplett.pdf"
Flughafen Zürich;EN;AR;2014;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2014_en_komplett_20150317.pdf"
Flughafen Zürich;EN;AR;2013;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2013_en_komplett.pdf"
Flughafen Zürich;EN;AR;2012;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/fhzag_gb_2012_e_komplett.pdf"
Flughafen Zürich;EN;AR;2011;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/annual_report_2011.pdf"
Flughafen Zürich;EN;AR;2010;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/annual_report_2010.pdf"
Flughafen Zürich;EN;AR;2009;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/zurich_airport_annualreport09_e.pdf"
Flughafen Zürich;EN;AR;2008;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht08_e.pdf"
Flughafen Zürich;EN;AR;2007;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht07_e.pdf"
Flughafen Zürich;EN;AR;2006;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht06_e.pdf"
Flughafen Zürich;EN;AR;2005;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht05_e.pdf"
Flughafen Zürich;EN;AR;2004;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht04_e.pdf"
Flughafen Zürich;EN;AR;2003;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht03_e.pdf"
Flughafen Zürich;EN;AR;2002;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht02_e.pdf"
Flughafen Zürich;EN;AR;2001;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht01_e.pdf"
Flughafen Zürich;EN;AR;2000;"https://www.zurich-airport.com/~/media/flughafenzh/dokumente/das_unternehmen/investor_relations/unique_geschaeftsbericht00_e.pdf"
