company;language;report_type;year;link
GAM;EN;AR;2004;"https://www.gam.com/media/233856/jb_annualreport_2004_en.pdf"
GAM;DE;AR;2004;"https://www.gam.com/media/233872/jb_annualreport_2004_de.pdf"
GAM;EN;AR;2005;"https://www.gam.com/media/233840/jb_annualreport_2005_en.pdf"
GAM;DE;AR;2005;"https://www.gam.com/media/233888/jb_annualreport_2005_de.pdf"
GAM;EN;AR;2006;"https://www.gam.com/media/233824/jb_annualreport_2006_en.pdf"
GAM;DE;AR;2006;"https://www.gam.com/media/233904/jb_annualreport_2006_de.pdf"
GAM;EN;AR;2007;"https://www.gam.com/media/233936/jb_annualreport_2007_en.pdf"
GAM;DE;AR;2007;"https://www.gam.com/media/233920/jb_annualreport_2007_de.pdf"
GAM;EN;AR;2008;"https://www.gam.com/media/233808/jb_annualreport_2008_en.pdf"
GAM;DE;AR;2008;"https://www.gam.com/media/233952/jb_annualreport_2008_de.pdf"
GAM;EN;AR;2009;"https://www.gam.com/media/232544/gam_holding_ltd_annual_report_2009_eng.pdf"
GAM;DE;AR;2009;"https://www.gam.com/media/232528/gam_holding_ag_annual_report_2009_ger.pdf"
GAM;EN;AR;2010;"https://www.gam.com/-/media/content/results/fy-2010/2010_fy_report.pdf"
GAM;EN;AR;2011;"https://www.gam.com/-/media/content/results/fy-2011/2011_fy_report.pdf"
GAM;EN;AR;2012;"https://www.gam.com/-/media/content/results/fy-2012/2012_fy_report.pdf"
GAM;EN;AR;2013;"https://www.gam.com/-/media/content/results/fy-2013/2013_fy_report.pdf"
GAM;EN;AR;2014;"https://www.gam.com/-/media/content/results/fy-2014/2014_fy_report.pdf"
GAM;EN;AR;2015;"https://www.gam.com/-/media/content/results/fy-2015/2015_fy_report.pdf"
GAM;EN;AR;2016;"https://www.gam.com/-/media/content/results/fy-2016/2016_fy_report.pdf"
GAM;EN;AR;2017;"https://www.gam.com/-/media/content/results/fy-2017/2017_ar_gam_annual-report.pdf"
GAM;EN;AR;2018;"https://www.gam.com/-/media/content/results/fy-2018/2018_ar_gam_annual-report_pdf.pdf"
