company;language;report_type;year;link
Geberit;DE;AR;2006;"https://www.geberit.com/files/publikationen/2006/geschaeftsbericht-2006.pdf"
Geberit;DE;AR;2005;"https://www.geberit.com/files/publikationen/2005/geschaeftsbericht-2005.pdf"
Geberit;DE;AR;2004;"https://www.geberit.com/files/publikationen/2004/geschaeftsbericht-2004.pdf"
Geberit;DE;AR;2003;"https://www.geberit.com/files/publikationen/2003/geschaeftsbericht-2003.pdf"
Geberit;DE;AR;2002;"https://www.geberit.com/files/publikationen/2002/geschaeftsbericht-2002.pdf"
Geberit;DE;AR;2001;"https://www.geberit.com/files/publikationen/2001/geschaeftsbericht-2001.pdf"
Geberit;DE;AR;2000;"https://www.geberit.com/files/publikationen/2000/geschaeftsbericht-2000.pdf"
Geberit;DE;AR;1999;"https://www.geberit.com/files/publikationen/1999/geschaeftsbericht-1999.pdf"
Geberit;DE;AR;2014;"https://geschaeftsbericht.geberit.com/geberit/annual/2014/gb/German/pdf/Geberit_GB2014_de.pdf"
Geberit;DE;AR;2015;"https://geschaeftsbericht.geberit.com/geberit/annual/2015/gb/German/pdf/Geberit_GB2015_de.pdf"
Geberit;DE;AR;2016;"https://geschaeftsbericht.geberit.com/geberit/annual/2016/gb/German/pdf/Geberit_GB2016_de.pdf"
Geberit;DE;AR;2017;"https://geschaeftsbericht.geberit.com/geberit/annual/2017/gb/German/pdf/Geberit_GB2017_de.pdf"
Geberit;DE;AR;2018;"https://www.geberit.com/files/publikationen/2019/gb-2018/geschaeftsbericht-2018-de.pdf"
Geberit;DE;AR;2007;"https://www.geberit.com/files/publikationen/2007/geschaeftsbericht-2007.pdf"
Geberit;DE;SR;2007;"https://www.geberit.com/files/publikationen/2007/nachhaltigkeitsbericht-2007.pdf"
Geberit;DE;AR;2008;"https://www.geberit.com/files/publikationen/2008/geschaeftsbericht-2008.pdf"
Geberit;DE;GRI;2007;"https://www.geberit.com/files/publikationen/2007/global-reporting-initiative-bericht-2007.pdf"
Geberit;DE;AR;2009;"https://www.geberit.com/files/publikationen/2009/geschaeftsbericht-2009.pdf"
Geberit;DE;GRI;2008;"https://www.geberit.com/files/publikationen/2008/global-reporting-initiative-bericht-2008.pdf"
Geberit;DE;AR;2010;"https://www.geberit.com/files/publikationen/2010/geschaeftsbericht-2010.pdf"
Geberit;DE;SR;2010;"https://www.geberit.com/files/publikationen/2010/nachhaltigkeitsbericht-2010.pdf"
Geberit;DE;GRI;2009;"https://www.geberit.com/files/publikationen/2009/global-reporting-initiative-bericht-2009.pdf"
Geberit;DE;AR;2011;"https://www.geberit.com/files/publikationen/2012/geberit-gb2011-de.pdf"
Geberit;DE;GRI;2010;"https://www.geberit.com/files/publikationen/2010/global-reporting-initiative-bericht-2010.pdf"
Geberit;DE;SR;2011;"https://www.geberit.com/files/gruppe/unternehmen/nachhaltigkeit/sustainability-perfomance-report-fy2011-de.pdf"
Geberit;DE;AR;2012;"https://www.geberit.com/files/publikationen/2013/geberit-gb2012-de.pdf"
Geberit;DE;GRI;2012;"https://www.geberit.com/files/gruppe/unternehmen/nachhaltigkeit/sustainability-performance-report-2012-de.pdf"
Geberit;DE;AR;2013;"https://www.geberit.com/files/publikationen/2014/geschaeftsbericht-2013-gesamt-de.pdf"
Geberit;DE;SR;2013;"https://www.geberit.com/files/publikationen/2014/geschaeftsbericht-2013-nachhaltigkeit-de.pdf"
Geberit;DE;GRI;2013;"https://www.geberit.com/files/publikationen/2014/sustainability-perfomance-report-fy2013-de.pdf"
Geberit;DE;AR;2014;"https://www.geberit.com/files/publikationen/2015/geberit-gb2014-de.pdf"
Geberit;DE;SR;2014;"https://www.geberit.com/files/publikationen/2015/geberit-nachhaltigkeit-2014-gb-de.pdf"
Geberit;DE;GRI;2014;"https://www.geberit.com/files/gruppe/unternehmen/nachhaltigkeit/geberit-nachhaltigkeit-2014-de.pdf"
Geberit;DE;GRI;2016;"https://www.geberit.com/files/publikationen/2016/nachhaltigkeit/sustaianbility-performance-report-geberit-2016-de.pdf"
Geberit;DE;GRI;2017;"https://www.geberit.com/files/publikationen/2018/gb-2017/nachhaltigkeit/gb-2017-spr-de.pdf"
Geberit;DE;GRI;2018;"https://www.geberit.com/files/publikationen/2019/gb-2018/nachhaltigkeit/gb-2018-sustainability-performance-report-de.pdf"
