company;language;report_type;year;link
Georg Fischer;DE;AR;2018;"https://annual-report.georgfischer.com/18/app/uploads/GF_Geschaeftsbericht_2018_de.pdf"
Georg Fischer;DE;AR;2017;"https://annual-report.georgfischer.com/18/app/uploads/GF_GB17_de.pdf"
Georg Fischer;DE;SR;2017;"https://annual-report.georgfischer.com/18/app/uploads/GF_NHB17_de.pdf"
Georg Fischer;DE;AR;2016;"https://annual-report.georgfischer.com/18/app/uploads/GF_GB16_de.pdf"
Georg Fischer;DE;SR;2016;"https://annual-report.georgfischer.com/18/app/uploads/GF_NHB16_de.pdf"
Georg Fischer;DE;AR;2015;"https://annual-report.georgfischer.com/18/app/uploads/GF_GB15_de.pdf"
Georg Fischer;DE;SR;2015;"https://annual-report.georgfischer.com/18/app/uploads/GF_NHB15_de.pdf"
Georg Fischer;DE;AR;2014;"https://annual-report.georgfischer.com/18/app/uploads/GF_GB14_de.pdf"
Georg Fischer;DE;SR;2014;"https://annual-report.georgfischer.com/18/app/uploads/GF_NHB14_de.pdf"
Georg Fischer;EN;SR;2019;"https://annual-report.georgfischer.com/19/app/uploads/GF_Annual_Report_2019_en.pdf"
