company;language;report_type;year;link
Givaudan SA;EN;AR;2018;"https://www.givaudan.com/files/giv-2018-integrated-annual-report.pdf"
Givaudan SA;EN;SR;2018;"https://www.givaudan.com/files/giv-2018-sustainability-progress-review.pdf"
Givaudan SA;EN;SR;2017;"https://www.givaudan.com/files/giv-2017-sustainability-report.pdf"
Givaudan SA;EN;AR;2017;"https://www.givaudan.com/files/giv-2017-annual-report.pdf"
Givaudan SA;EN;SR;2016;"https://www.givaudan.com/files/giv2016annualreportpdf"
Givaudan SA;EN;SR;2016;"https://www.givaudan.com/files/giv-2016-sustainability-report.pdf"
Givaudan SA;EN;SR;2015;"https://www.givaudan.com/files/giv2015annualreportpdf"
Givaudan SA;EN;CR;2015;"https://www.givaudan.com/files/giv-2015-ar-compensation-report.pdf"
Givaudan SA;EN;CG;2015;"https://www.givaudan.com/files/giv2015ar-corporategovernance.pdf"
Givaudan SA;EN;SR;2015;"https://www.givaudan.com/files/giv-2015-sustainability-report.pdf"
Givaudan SA;EN;SR;2014;"https://www.givaudan.com/files/giv-2014-gri.pdf"
Givaudan SA;EN;AR;2014;"https://www.givaudan.com/files/2014-annual-reportpdf"
Givaudan SA;FR;AR;2014;"https://www.givaudan.com/files/2014-rapport-annuelpdf"
Givaudan SA;DE;AR;2014;"https://www.givaudan.com/files/2014-annual-report-ge.pdf"
Givaudan SA;EN;AR;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_EN.pdf"
Givaudan SA;DE;AR;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_GE.pdf"
Givaudan SA;FR;AR;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_FR.pdf"
Givaudan SA;EN;AR;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_EN.pdf"
Givaudan SA;DE;AR;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_GE.pdf"
Givaudan SA;FR;AR;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_FR.pdf"
Givaudan SA;EN;AR;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_EN.pdf"
Givaudan SA;DE;AR;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_GE.pdf"
Givaudan SA;FR;AR;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_FR.pdf"
Givaudan SA;EN;AR;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_EN.pdf"
Givaudan SA;FR;AR;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_FR.pdf"
Givaudan SA;DE;AR;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_GE.pdf"
Givaudan SA;EN;AR;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr.pdf"
Givaudan SA;DE;AR;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr_german.pdf"
Givaudan SA;FR;AR;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr_french.pdf"
Givaudan SA;EN;AR;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn.pdf"
Givaudan SA;FR;AR;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn_fr.pdf"
Givaudan SA;DE;AR;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn_de.pdf"
Givaudan SA;EN;AR;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fy2007.pdf"
Givaudan SA;FR;AR;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2007/givaudan_ar_fr_fy2007.pdf"
Givaudan SA;DE;AR;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2007/givaudan_ar_de_fy2007.pdf"
Givaudan SA;EN;FR;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2007/givaudan_fr_fy2007.pdf"
Givaudan SA;EN;AR;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fy2006.pdf"
Givaudan SA;DE;AR;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_de_fy2006.pdf"
Givaudan SA;FR;AR;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fr_fy2006.pdf"
Givaudan SA;EN;FR;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2006/givaudan_fr_fy2006.pdf"
Givaudan SA;EN;AR;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2005/givaudan_ar_en_fy2005.pdf"
Givaudan SA;DE;AR;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2005/givaudan_ar_de_fy2005.pdf"
Givaudan SA;FR;AR;2005;"https://www.givaudan.com/files/annual-report-2005-frpdf-0"
Givaudan SA;EN;FR;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2005/givaudan_fr_fy2005.pdf"
