company;language;report_type;year;link
Givaudan;EN;NB;2017;"https://www.givaudan.com/files/giv-2017-sustainability-report.pdf"
Givaudan;EN;GB;2017;"https://www.givaudan.com/files/giv-2017-annual-report.pdf"
Givaudan;EN;NB;2016;"https://www.givaudan.com/files/giv2016annualreportpdf"
Givaudan;EN;SB;2016;"https://www.givaudan.com/files/giv-2016-sustainability-report.pdf"
Givaudan;EN;NB;2015;"https://www.givaudan.com/files/giv2015annualreportpdf"
Givaudan;EN;CR;2015;"https://www.givaudan.com/files/giv-2015-ar-compensation-report.pdf"
Givaudan;EN;CG;2015;"https://www.givaudan.com/files/giv2015ar-corporategovernance.pdf"
Givaudan;EN;SB;2015;"https://www.givaudan.com/files/giv-2015-sustainability-report.pdf"
Givaudan;EN;NB;2014;"https://www.givaudan.com/files/giv-2014-gri.pdf"
Givaudan;EN;GB;2014;"https://www.givaudan.com/files/2014-annual-reportpdf"
Givaudan;FR;GB;2014;"https://www.givaudan.com/files/2014-rapport-annuelpdf"
Givaudan;DE;GB;2014;"https://www.givaudan.com/files/2014-annual-report-ge.pdf"
Givaudan;EN;GB;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_EN.pdf"
Givaudan;DE;GB;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_GE.pdf"
Givaudan;FR;GB;2013;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2014/Giv_2013_FYreport_FR.pdf"
Givaudan;EN;GB;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_EN.pdf"
Givaudan;DE;GB;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_GE.pdf"
Givaudan;FR;GB;2012;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2013/Giv_2012_FYreport_FR.pdf"
Givaudan;EN;GB;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_EN.pdf"
Givaudan;DE;GB;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_GE.pdf"
Givaudan;FR;GB;2011;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2012/Giv_2011_FYreport_FR.pdf"
Givaudan;EN;GB;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_EN.pdf"
Givaudan;FR;GB;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_FR.pdf"
Givaudan;DE;GB;2010;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/Financial/2011/Giv_2010_FYreport_GE.pdf"
Givaudan;EN;GB;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr.pdf"
Givaudan;DE;GB;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr_german.pdf"
Givaudan;FR;GB;2009;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2009/givaudan_2009_fy_an_fr_french.pdf"
Givaudan;EN;GB;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn.pdf"
Givaudan;FR;GB;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn_fr.pdf"
Givaudan;DE;GB;2008;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2008/givaudan_2008_fy_an_fn_de.pdf"
Givaudan;EN;GB;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fy2007.pdf"
Givaudan;FR;GB;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2007/givaudan_ar_fr_fy2007.pdf"
Givaudan;DE;GB;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2007/givaudan_ar_de_fy2007.pdf"
Givaudan;EN;FR;2007;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2007/givaudan_fr_fy2007.pdf"
Givaudan;EN;GB;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fy2006.pdf"
Givaudan;DE;GB;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_de_fy2006.pdf"
Givaudan;FR;GB;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2006/givaudan_ar_fr_fy2006.pdf"
Givaudan;EN;FR;2006;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2006/givaudan_fr_fy2006.pdf"
Givaudan;EN;GB;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2005/givaudan_ar_en_fy2005.pdf"
Givaudan;DE;GB;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2005/givaudan_ar_de_fy2005.pdf"
Givaudan;FR;GB;2005;"https://www.givaudan.com/files/annual-report-2005-frpdf-0"
Givaudan;EN;FR;2005;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fin_report/2005/givaudan_fr_fy2005.pdf"
Givaudan;EN;GB;2004;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2004/givaudan-ar-2004-en.pdf"
Givaudan;DE;GB;2004;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2004/givaudan-ar-2004-de.pdf"
Givaudan;FR;GB;2004;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2004/givaudan-ar-2004-fr.pdf"
Givaudan;EN;GB;2003;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2003/givaudan-2003-en-full.pdf"
Givaudan;DE;GB;2003;"https://www.givaudan.com/staticweb/StaticFiles/GivaudanCom/Publications/fin_pubs/fy_report/2003/givaudan-2003-de-full.pdf"
