company;language;report_type;year;link
Helvetia;DE;FR;2018;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2018/finanzbericht-jahresrechnung-gj18.pdf"
Helvetia;EN;FR;2018;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2018/financial-report-fy18.pdf"
Helvetia;DE;FR;2017;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2017/finanzbericht-und-jahresrechnung-gj2017.pdf"
Helvetia;EN;FR;2017;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2017/consolidated-financial-statements-fy2017.pdf"
Helvetia;DE;AR;2016;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2016/2016-geschaeftsbericht.pdf"
Helvetia;EN;AR;2016;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2016/2016-annual-report.pdf"
Helvetia;DE;AR;2015;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2015/2015-geschaeftsbericht.pdf"
Helvetia;EN;AR;2015;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2015/2015-annual-report.pdf"
Helvetia;DE;AR;2014;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2014/2014-geschaeftsbericht.pdf"
Helvetia;EN;AR;2014;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2014/2014-annual-report.pdf"
Helvetia;FR;AR;2014;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2014/2014-raport-de-gestion.pdf"
Helvetia;DE;AR;2013;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2013/2013-geschaeftsbericht.pdf"
Helvetia;EN;AR;2013;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2013/2013-annual-report.pdf"
Helvetia;FR;AR;2013;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2013/2013-rapport-de-gestion.pdf"
Helvetia;DE;AR;2012;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2012/2012-geschaeftsbericht.pdf"
Helvetia;EN;AR;2012;"https://www.helvetia.com/content/dam/os/corporate/web/de/home/investor-relations/auf-einen-blick/publikationen/jahresabschluss/2012/2012-rapport-de-gestion.pdf"
Helvetia;FR;AR;2012;"https://www.helvetia.com/content/dam/os/corporate/web/en/home/investor-relations/overview/publications/annual-results/2012/2012-annual-report.pdf"
Helvetia;EN;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/business-publications/brochure/2019/company-brochure-2019.pdf"
Helvetia;DE;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/business-publications/brochure/2019/unternehmensbroschuere-2019.pdf"
Helvetia;FR;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/business-publications/brochure/2019/brochure-entreprise-2019.pdf"
Helvetia;IT;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/business-publications/brochure/2019/pubblicazione-aziendale-2019.pdf"
Helvetia;EN;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2019/financial-report-fy2019.pdf"
Helvetia;DE;AR;2019;"https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2019/finanzbericht-gj2019.pdf"
