company;language;report_type;year;link
Kuehne + Nagel;EN;AR;2018;"https://2018-annual-report.kuehne-nagel.com/fileadmin/user_upload/Dateien/documents/AR2018.pdf"
Kuehne + Nagel;EN;SR;2018;"https://2018-annual-report.kuehne-nagel.com/fileadmin/user_upload/Dateien/documents/Sustainability_Report_2018.pdf"
Kuehne + Nagel;EN;GRI;2018;"https://2018-annual-report.kuehne-nagel.com/fileadmin/user_upload/Dateien/documents/GRI_Index.pdf"
Kuehne + Nagel;EN;AR;2017;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2017/Annual_report_2017/AnnualReport_2017_English.pdf"
Kuehne + Nagel;EN;AR;2016;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2016/KNGB_AnnualReport.pdf"
Kuehne + Nagel;EN;AR;2015;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2015/Annual_Report/en/Annual_Report_2015_-_English.pdf"
Kuehne + Nagel;DE;AR;2015;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2015/Annual_Report/de/Annual_Report_2015_-_German.pdf"
Kuehne + Nagel;EN;AR;2014;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2014/annual_report/en/Annual_Report_2014_English.pdf"
Kuehne + Nagel;DE;AR;2014;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2014/annual_report/de/Annual_Report_2014_German.pdf"
Kuehne + Nagel;EN;AR;2013;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2014/KNGB_uk_2013.pdf"
Kuehne + Nagel;DE;AR;2013;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2014/KNGB_de_2013.pdf"
Kuehne + Nagel;EN;AR;2012;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2013/KNGB_uk.pdf"
Kuehne + Nagel;DE;AR;2012;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2013/KNGB_de.pdf"
Kuehne + Nagel;EN;AR;2011;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2012/KNGB_uk_2011.pdf"
Kuehne + Nagel;DE;AR;2011;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2012/KNGB_de_2011.pdf"
Kuehne + Nagel;EN;AR;2010;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2010/KN_Annual_Report_2010_GB.pdf"
Kuehne + Nagel;DE;AR;2010;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2010/KN_Annual_Report_2010_DE.pdf"
Kuehne + Nagel;EN;AR;2009;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2009/2009_English_Annual_Report.pdf"
Kuehne + Nagel;DE;AR;2009;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2009/2009_German_Annual_Report.pdf"
Kuehne + Nagel;EN;AR;2008;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2008/KN_GB08_komplett_E.pdf"
Kuehne + Nagel;EN;AR;2008;"https://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2008/KN_GB08_komplett_D.pdf"
Kuehne + Nagel;EN;AR;2007;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2007/Kuehne+Nagel_2007_annual_report.pdf"
Kuehne + Nagel;EN;AR;2007;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2007/GB_gesamt_2007_DE.pdf"
Kuehne + Nagel;EN;AR;2006;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2006/e_KN_AR_2006.pdf"
Kuehne + Nagel;EN;AR;2006;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2006/d_KN_AR_2006.pdf"
Kuehne + Nagel;EN;AR;2005;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2005/fulldownload.pdf"
Kuehne + Nagel;EN;AR;2005;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2005/fulldownload-de.pdf"
Kuehne + Nagel;EN;AR;2004;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2004/e_kn.pdf"
Kuehne + Nagel;EN;AR;2004;"http://www.kn-portal.com/fileadmin/user_upload/documents/about_us/Investor_Relations/documents/2004/d_kn.pdf"
Kuehne + Nagel;EN;AR;2019;"https://2019-annual-report.kuehne-nagel.com/fileadmin/user_upload/Dateien/documents/Annual_Report2019.pdf"
