company;language;report_type;year;link
LafargeHolcim;EN;AR;2018;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/04172019-finance-lafargeholcim_fy_annual_report-en.pdf"
LafargeHolcim;DE;AR;2018;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/lafargeholcim_annual_report_2018_german.pdf"
LafargeHolcim;EN;AR;2017;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/03022018-finance-lafargeholcim_2017_annual_report-en.pdf"
LafargeHolcim;DE;AR;2017;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/2018-03-16_ar_2017_de.pdf"
LafargeHolcim;FR;AR;2017;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/2018-03-16_ar_2017_fr.pdf"
LafargeHolcim;EN;AR;2016;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/03022017-finance-lafargeholcim_annual_report_2016-en.pdf"
LafargeHolcim;EN;AR;2016;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/03022017-finance-lafargeholcim_annual_report_2016-de.pdf"
LafargeHolcim;FR;AR;2016;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/03022017-finance-lafargeholcim_annual_report_2016-fr.pdf"
LafargeHolcim;EN;AR;2015;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/03172016-press_finance-lafargeholcim_full-year-results_2015_annual_report-en.pdf"
LafargeHolcim;DE;AR;2015;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/lafargeholcim_gb15_de_160405_screen.pdf"
LafargeHolcim;FR;AR;2015;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/lafargeholcim_ra2015_fr_160405_screen.pdf"
LafargeHolcim;EN;AR;2019;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/02272020-finance-lafageholcim_fy_2019_report_backend-en_457273729.pdf"
LafargeHolcim;EN;GRI;2019;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/lafargeholcim_gri_content_index_2019.pdf"
LafargeHolcim;EN;SR;2019;"https://www.lafargeholcim.com/sites/lafargeholcim.com/files/atoms/files/02272020-sustainability-lafargeholcim_fy_2019_data_report-en-update2.pdf"
