company;language;report_type;year;link
Logitech International S.A.;EN;10K;2019;"https://s1.q4cdn.com/104539020/files/doc_financials/quarterly_results/2019/a760de2f-f4f2-413a-b761-32cf012d0377.pdf"
Logitech International S.A.;EN;AR;2019;"https://s1.q4cdn.com/104539020/files/doc_financials/quarterly_results/2019/Logitech-2019-Annual-Report.pdf"
Logitech International S.A.;EN;10K;2018;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech-2018-10K.pdf"
Logitech International S.A.;EN;AR;2018;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech-2018-Annual-Report.pdf"
Logitech International S.A.;EN;PS;2018;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/Logitech-2018-Proxy-Statement.pdf"
Logitech International S.A.;EN;10K;2017;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech-2017-10K.pdf"
Logitech International S.A.;EN;AR;2017;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/321014(1)_5_Logitech_Combo_WR_R5.pdf"
Logitech International S.A.;EN;PS;2017;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/Logitech-2017-DEF-Proxy-Statement-Final.pdf"
Logitech International S.A.;EN;10K;2016;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech-2016-10K.pdf"
Logitech International S.A.;EN;AR;2016;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech-2016-AGM-Inv-Proxy-and-Annual-Report_web-ready.pdf"
Logitech International S.A.;EN;PS;2016;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/ProxyStatement-July22-2016.pdf"
Logitech International S.A.;EN;AR;2015;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2015-AGM-Logitech-Invitation-Proxy-Statement-Annual-Report.pdf"
Logitech International S.A.;EN;PS;2015;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/b6e0609f-63df-4ea6-9e34-dbba07be45ec.pdf"
Logitech International S.A.;EN;AR;2014;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/270463-13-print_ready_revised.pdf"
Logitech International S.A.;EN;PS;2014;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/47fac57a-0972-430f-a711-770096b420c1.pdf"
Logitech International S.A.;EN;AR;2013;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech_2013_Inv_Proxy_Stmt_Annual_Report.pdf"
Logitech International S.A.;EN;PS;2013;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/4890daf4-2023-464d-a2f9-004c21573004.pdf"
Logitech International S.A.;EN;AR;2012;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/231511-16-web_ready.pdf"
Logitech International S.A.;EN;PS;2012;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/703906dc-4714-4e59-be81-91b289d3e793.pdf"
Logitech International S.A.;EN;AR;2011;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/216127-19-web_ready_revised2_.pdf"
Logitech International S.A.;EN;PS;2011;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/a18fae91-3a65-4b48-80e0-a92f7dc0d39c.pdf"
Logitech International S.A.;EN;AR;2010;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2009AR.pdf"
Logitech International S.A.;EN;PS;2010;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/e49c2d72-ea8b-4499-b902-ff4047da0c0a.pdf"
Logitech International S.A.;EN;PS;2009;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/Logitech_2009_AR_Inv_Proxy_Web-ready_072309.pdf"
Logitech International S.A.;EN;AR;2009;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/FY08AnnualReportLOGI.pdf"
Logitech International S.A.;EN;AR;2008;"https://s1.q4cdn.com/104539020/files/doc_financials/proxy/1c34e47f-c81b-4e8b-9de2-b53020474607.pdf"
Logitech International S.A.;EN;AR;2007;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2007_AR.pdf"
Logitech International S.A.;EN;AR;2006;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2006_AR.pdf"
Logitech International S.A.;EN;AR;2005;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2005_AR_full.pdf"
Logitech International S.A.;EN;AR;2004;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2004_AR_full.pdf"
Logitech International S.A.;EN;AR;2003;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2003_AR_full.pdf"
Logitech International S.A.;EN;AR;2002;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2002_AR_full.pdf"
Logitech International S.A.;EN;AR;2001;"https://s1.q4cdn.com/104539020/files/doc_financials/annual/2001_AR_full.pdf"
Logitech International S.A.;EN;SR;2019;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/sustainability-report-2019-screen-double-spread.pdf"
Logitech International S.A.;EN;SR;2018;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/sustainability-report2018-report-screen-double-spread.pdf"
Logitech International S.A.;EN;SR;2017;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/2017-logitech-sustainability-report.pdf"
Logitech International S.A.;EN;GRI;2019;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/gri-index-fy19.pdf"
Logitech International S.A.;EN;GRI;2018;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/gri-index-fy18.pdf"
Logitech International S.A.;EN;GRI;2017;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/gri-index-fy17.pdf"
Logitech International S.A.;EN;GRI;2015;"https://www.logitech.com/content/dam/logitech/logitech-sustainability/en/pdf/resources/gri-index-fy15.pdf"
