company;language;report_type;year;link
Lonza Group AG;EN;AR;2009;"https://www.lonza.com/investor-relations/-/media/72CD818B73224F62A9889FB365DF1F4C.ashx"
Lonza Group AG;EN;FR;2009;"https://www.lonza.com/investor-relations/-/media/109199BDAB2248E0BE9A7C61D078FEF3.ashx"
Lonza Group AG;EN;AR;2010;"https://www.lonza.com/investor-relations/-/media/0FF09E3E6D6C4F038490080D975C2190.ashx"
Lonza Group AG;EN;FR;2010;"https://www.lonza.com/investor-relations/-/media/72253162217E4CCCA41E66962CADF380.ashx"
Lonza Group AG;EN;AR;2011;"https://www.lonza.com/investor-relations/-/media/425C02AB82A84E86A47A6F030806C393.ashx"
Lonza Group AG;EN;AR;2012;"https://www.lonza.com/investor-relations/-/media/CD247F99EEF040A7ABB89AB4A8178236.ashx"
Lonza Group AG;EN;AR;2013;"https://www.lonza.com/investor-relations/-/media/9F95134DC97F4255BBBFBB2F867199CF.ashx"
Lonza Group AG;EN;AR;2014;"https://www.lonza.com/investor-relations/-/media/485F47DC7B424A6F9B5055980FB10C77.ashx"
Lonza Group AG;EN;FR;2014;"https://www.lonza.com/investor-relations/-/media/29224A0554C140CD87A83C18B890EA04.ashx"
Lonza Group AG;EN;AR;2015;"https://www.lonza.com/investor-relations/~/media/20D705B7160F43B4A776CDF7B612E6C9.ashx"
Lonza Group AG;EN;FR;2015;"https://www.lonza.com/investor-relations/~/media/8827CE4ADFED43B0AD1D50569BD75B69.ashx"
Lonza Group AG;EN;AR;2016;"https://www.lonza.com/investor-relations/~/media/900B76CD8A6248B1BFAD99C52A9390AE.ashx"
Lonza Group AG;EN;AR;2017;"https://www.lonza.com/investor-relations/~/media/482F66BC54D748608A2540ACECB09A7C.ashx"
Lonza Group AG;EN;AR;2018;"https://www.lonza.com/investor-relations/~/media/BF09426D1194466A9F1AF20BA0C30149.ashx"
Lonza Group AG;EN;SR;2018;"https://www.lonza.com/investor-relations/~/media/221ACD611F324929B1B6054FF314B774.ashx"
Lonza Group AG;EN;AR;2019;"https://www.lonza.com/investor-relations/-/media/CF4F40C6AD9045228FBD4A45D6A00431.ashx"
Lonza Group AG;EN;SR;2019;"https://www.lonza.com/investor-relations/-/media/F1BEFBA1616A4A55BBFD30DFB8E55A8F.ashx"
