company;language;report_type;year;link
Migros Bank AG;DE;AR;2019;"https://www.migrosbank.ch/dam/jcr:df7c024e-742a-403c-a853-93a349423976/downloads/de/geschaeftsberichte/geschaeftsbericht-2019.pdf"
Migros Bank AG;DE;AR;2018;"https://www.migrosbank.ch/dam/jcr:c52c353a-9e79-4a1c-af35-44442bdc2b7f/downloads/de/geschaeftsberichte/geschaeftsbericht-2018.pdf"
Migros Bank AG;DE;AR;2011;"https://www.migrosbank.ch/dam/jcr:c96274a7-0f1c-4835-9cb3-4ae942798fc7/downloads/de/geschaeftsberichte/geschaeftsbericht-2011.pdf"
Migros Bank AG;DE;AR;2010;"https://www.migrosbank.ch/dam/jcr:a5a02a07-b3b1-486b-86e2-a8455d33139f/downloads/de/geschaeftsberichte/geschaeftsbericht-2010.pdf"
Migros Bank AG;DE;AR;2017;"https://www.migrosbank.ch/dam/jcr:a0c55a7e-ed4f-4d2b-b6f0-d03d78917f11/downloads/de/geschaeftsberichte/geschaeftsbericht-2017.pdf"
Migros Bank AG;DE;AR;2016;"https://www.migrosbank.ch/dam/jcr:a1dec5b8-5141-4b3c-a373-06f14f4b8ea2/downloads/de/geschaeftsberichte/geschaeftsbericht-2016.PDF"
Migros Bank AG;DE;AR;2015;"https://www.migrosbank.ch/dam/jcr:7deded5d-3633-49c7-9ccf-6a6002aea850/downloads/de/geschaeftsberichte/geschaeftsbericht-2015.pdf"
Migros Bank AG;DE;AR;2014;"https://www.migrosbank.ch/dam/jcr:b4be9fcd-8068-4c60-8490-2adce7872813/downloads/de/geschaeftsberichte/geschaeftsbericht-2014.pdf"
Migros Bank AG;DE;AR;2013;"https://www.migrosbank.ch/dam/jcr:d136b4ce-cbe3-4fd3-9675-a88247106597/downloads/de/geschaeftsberichte/geschaeftsbericht-2013.pdf"
Migros Bank AG;DE;AR;2009;"https://www.migrosbank.ch/dam/jcr:614edb0b-e58a-4518-9664-c46578f20223/downloads/de/geschaeftsberichte/geschaeftsbericht-2009.pdf"
Migros Bank AG;DE;AR;2008;"https://www.migrosbank.ch/dam/jcr:e5279f3d-fe61-4824-b388-91307be2eda6/downloads/de/geschaeftsberichte/geschaeftsbericht-2008.pdf"
Migros Bank AG;DE;AR;2007;"https://www.migrosbank.ch/dam/jcr:e086e60d-7ea0-48a5-ad98-fb4895d6ec34/downloads/de/geschaeftsberichte/geschaeftsbericht-2007.pdf"
Migros Bank AG;DE;AR;2006;"https://www.migrosbank.ch/dam/jcr:3d5df6a8-fedd-43b9-ac05-e5e02a1fc0a8/downloads/de/geschaeftsberichte/geschaeftsbericht-2006.pdf"
Migros Bank AG;DE;AR;2012;"https://www.migrosbank.ch/dam/jcr:ed3671c5-0bbf-4464-9da0-b6f21148ebe4/downloads/de/geschaeftsberichte/geschaeftsbericht-2012.pdf"
