company;language;report_type;year;link
Mobiliar;DE;AR;2017;"https://www.mobiliar.ch/sites/default/files/annualreport-2018/mobiliar-geschaeftsbericht-2017.pdf"
Mobiliar;DE;AR;2016;"https://www.mobiliar.ch/sites/default/files/mobiliar_gb16_de.pdf"
Mobiliar;DE;AR;2015;"https://www.mobiliar.ch/sites/default/files/gb15-de.pdf"
Mobiliar;DE;AR;2014;"https://www.mobiliar.ch/sites/default/files/gb-2014-de.pdf"
Mobiliar;DE;AR;2013;"https://www.mobiliar.ch/sites/default/files/gb-2013-de.pdf"
Mobiliar;DE;AR;2012;"https://www.mobiliar.ch/sites/default/files/gb-2012-de.pdf"
Mobiliar;DE;AR;2011;"https://www.mobiliar.ch/sites/default/files/gb-2011-de.pdf"
Mobiliar;DE;AR;2010;"https://www.mobiliar.ch/sites/default/files/gb-2010-de.pdf"
Mobiliar;DE;AR;2009;"https://www.mobiliar.ch/sites/default/files/geschaeftsbericht_2009.pdf"
Mobiliar;DE;AR;2008;"https://www.mobiliar.ch/sites/default/files/gb-2008-de.pdf"
Mobiliar;DE;AR;2007;"https://www.mobiliar.ch/sites/default/files/gb-2007-de.pdf"
Mobiliar;DE;AR;2006;"https://www.mobiliar.ch/sites/default/files/gb-2006-de.pdf"
Mobiliar;DE;AR;2005;"https://www.mobiliar.ch/sites/default/files/gb-2005-de.pdf"
Mobiliar;DE;AR;2004;"https://www.mobiliar.ch/sites/default/files/gb-2004-de.pdf"
Mobiliar;DE;AR;2003;"https://www.mobiliar.ch/sites/default/files/gb-2003-de.pdf"
Mobiliar;DE;AR;2002;"https://www.mobiliar.ch/sites/default/files/gb-2002-de.pdf"
Mobiliar;EN;AR;2002;"https://www.mobiliar.ch/sites/default/files/gb-2002-en.pdf"
Mobiliar;DE;AR;2001;"https://www.mobiliar.ch/sites/default/files/gb-2001-de.pdf"
Mobiliar;EN;AR;2001;"https://www.mobiliar.ch/sites/default/files/gb-2001-en.pdf"
Mobiliar;DE;AR;2000;"https://www.mobiliar.ch/sites/default/files/gb-2000-de.pdf"
Mobiliar;EN;AR;2000;"https://www.mobiliar.ch/sites/default/files/gb-2000-en.pdf"
Mobiliar;DE;AR;2018;"https://www.mobiliar.ch/sites/default/files/annualreport-2019/mobiliar-gb18-de.pdf"
Mobiliar;DE;GRI;2018;"https://www.mobiliar.ch/sites/default/files/annualreport-2019/mobiliar-gb18-index-gri.pdf"
