company;language;report_type;year;link
Mobimo Holding AG;DE;AR;2019;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht_2019_de.pdf?fileId=1ea5-1805-6b270a01-bd0c-02421dda7976&timestamp=2020-02-17T12:23:44.042Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht_2019_DE.pdf"
Mobimo Holding AG;DE;SR;2019;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_de.pdf?fileId=1eaa-679b-9fb28c01-8f70-0242ac150002&timestamp=2020-06-04T15:40:32.972Z&storageContext=direct&filename=Nachhaltigkeitsbericht_DE.pdf"
Mobimo Holding AG;DE;AR;2018;"http://www.mobimo.ch/api/mobimo/files/mob_gb18_de_final.pdf?fileId=1e93-9043-4d509601-b92a-02426cbc6712&timestamp=2019-02-25T13:49:44.055Z&storageContext=direct&filename=MOB_GB18_DE_Final.pdf"
Mobimo Holding AG;DE;SR;2018;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_2018_de.pdf?fileId=1e9a-e9ea-34e8a501-82fe-02421dda7976&timestamp=2019-07-25T05:39:57.941Z&storageContext=direct&filename=Nachhaltigkeitsbericht_2018_DE.pdf"
Mobimo Holding AG;DE;AR;2017;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202017.pdf?fileId=1e8c-d37a-4ccf1301-8255-0242ac110002&timestamp=2018-10-11T09:25:50.659Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202017.pdf"
Mobimo Holding AG;DE;SR;2017;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_2017.pdf?fileId=1e95-5ef6-6e4b4c01-aa7e-02426cbc6712&timestamp=2019-04-03T09:03:52.332Z&storageContext=direct&filename=Nachhaltigkeitsbericht_2017.pdf"
Mobimo Holding AG;DE;AR;2016;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202016.pdf?fileId=1e8c-d3c7-573b8101-8255-0242ac110002&timestamp=2018-10-11T10:00:18.706Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202016.pdf"
Mobimo Holding AG;DE;SR;2016;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_2016_de.pdf?fileId=1e9e-3863-97173501-a5b5-02421dda7976&timestamp=2019-09-30T13:28:44.037Z&storageContext=direct&filename=Nachhaltigkeitsbericht_2016_DE.pdf"
Mobimo Holding AG;DE;AR;2015;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202015.pdf?fileId=1e8c-d3cf-397bde01-8255-0242ac110002&timestamp=2018-10-11T10:03:50.334Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202015.pdf"
Mobimo Holding AG;DE;SR;2015;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_2015_de.pdf?fileId=1e9e-b301-7a1ad601-8100-02421dda7976&timestamp=2019-10-10T07:32:19.894Z&storageContext=direct&filename=Nachhaltigkeitsbericht_2015_DE.pdf"
Mobimo Holding AG;DE;AR;2014;"http://www.mobimo.ch/api/mobimo/files/a9rity282_1woz7jy_cno.pdf?fileId=1e94-1b68-d4233101-9736-02426cbc6712&timestamp=2019-03-08T15:26:32.129Z&storageContext=direct&filename=A9Rity282_1woz7jy_cno.pdf"
Mobimo Holding AG;DE;SR;2014;"http://www.mobimo.ch/api/mobimo/files/nachhaltigkeitsbericht_2014_de.pdf?fileId=1e9e-41d5-4255cb01-ab8b-02421dda7976&timestamp=2019-10-01T07:30:22.843Z&storageContext=direct&filename=Nachhaltigkeitsbericht_2014_DE.pdf"
Mobimo Holding AG;DE;AR;2013;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202013.pdf?fileId=1e8c-d3fd-7d2a4a01-8255-0242ac110002&timestamp=2018-10-11T10:24:32.234Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202013.pdf"
Mobimo Holding AG;DE;AR;2012;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202012.pdf?fileId=1e8c-d3fd-ac223701-8255-0242ac110002&timestamp=2018-10-11T10:24:37.160Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202012.pdf"
Mobimo Holding AG;DE;AR;2011;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202011.pdf?fileId=1e8c-d3fd-81309001-8255-0242ac110002&timestamp=2018-10-11T10:24:32.656Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202011.pdf"
Mobimo Holding AG;DE;AR;2010;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202010.pdf?fileId=1e8c-d3fd-7304a201-8255-0242ac110002&timestamp=2018-10-11T10:24:31.170Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202010.pdf"
Mobimo Holding AG;DE;AR;2009;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202009.pdf?fileId=1e8c-d3fd-0b163001-8255-0242ac110002&timestamp=2018-10-11T10:24:20.272Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202009.pdf"
Mobimo Holding AG;DE;AR;2008;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202008.pdf?fileId=1e8c-d3ff-d129f901-8255-0242ac110002&timestamp=2018-10-11T10:25:34.729Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202008.pdf"
Mobimo Holding AG;DE;AR;2007;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202007.pdf?fileId=1e8c-d3ff-d253d301-8255-0242ac110002&timestamp=2018-10-11T10:25:34.851Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202007.pdf"
Mobimo Holding AG;DE;AR;2006;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202006.pdf?fileId=1e8c-d3ff-b3023f01-8255-0242ac110002&timestamp=2018-10-11T10:25:31.567Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202006.pdf"
Mobimo Holding AG;DE;AR;2005;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202005.pdf?fileId=1e8c-d3ff-b9527501-8255-0242ac110002&timestamp=2018-10-11T10:25:32.229Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202005.pdf"
Mobimo Holding AG;DE;AR;2004;"http://www.mobimo.ch/api/mobimo/files/geschc3a4ftsbericht202004.pdf?fileId=1e8c-d3ff-a3b3ca01-8255-0242ac110002&timestamp=2018-10-11T10:25:29.962Z&storageContext=direct&filename=Gesch%C3%A4ftsbericht%202004.pdf"
Mobimo Holding AG;EN;AR;2019;"http://www.mobimo.ch/api/mobimo/files/annual_report_2019_en.pdf?fileId=1ea5-1803-b3eda201-bd0c-02421dda7976&timestamp=2020-02-17T12:22:57.986Z&storageContext=direct&filename=Annual_Report_2019_EN.pdf"
Mobimo Holding AG;EN;SR;2019;"http://www.mobimo.ch/api/mobimo/files/sustainability_report_2019_en.pdf?fileId=1eab-14b9-07631701-9a5d-0242ac170002&timestamp=2020-06-18T10:07:49.256Z&storageContext=direct&filename=Sustainability_Report_2019_EN.pdf"
Mobimo Holding AG;EN;EPRA;2019;"http://www.mobimo.ch/api/mobimo/files/200625_mob_epra_2019.pdf?fileId=1eab-7b15-e4759101-914f-0242ac1a0002&timestamp=2020-06-26T13:31:40.705Z&storageContext=direct&filename=200625_MOB_EPRA_2019.pdf"
Mobimo Holding AG;EN;AR;2018;"http://www.mobimo.ch/api/mobimo/files/mob_gb18_en_final.pdf?fileId=1e93-905e-49b18201-b92a-02426cbc6712&timestamp=2019-02-25T14:01:48.450Z&storageContext=direct&filename=MOB_GB18_EN_Final.pdf"
Mobimo Holding AG;EN;SR;2018;"http://www.mobimo.ch/api/mobimo/files/sustainability_report_2018_en.pdf?fileId=1e9a-e9ed-5f1f3201-82fe-02421dda7976&timestamp=2019-07-25T05:41:22.898Z&storageContext=direct&filename=Sustainability_Report_2018_EN.pdf"
Mobimo Holding AG;EN;EPRA;2018;"http://www.mobimo.ch/api/mobimo/files/epra_report_2018_en.pdf?fileId=1eab-15d1-f969aa01-9a5d-0242ac170002&timestamp=2020-06-18T12:13:30.826Z&storageContext=direct&filename=EPRA_Report_2018_EN.pdf"
Mobimo Holding AG;EN;AR;2017;"http://www.mobimo.ch/api/mobimo/files/annual20report202017.pdf?fileId=1e8f-3bbd-5d7be401-b74b-0242aab212b2&timestamp=2018-11-29T09:47:50.692Z&storageContext=direct&filename=Annual%20report%202017.pdf"
Mobimo Holding AG;EN;SR;2017;"http://www.mobimo.ch/api/mobimo/files/sustainability_report_2017.pdf?fileId=1e95-5efe-92101f01-aa7e-02426cbc6712&timestamp=2019-04-03T09:07:30.831Z&storageContext=direct&filename=Sustainability_Report_2017.pdf"
Mobimo Holding AG;EN;AR;2016;"http://www.mobimo.ch/api/mobimo/files/annual20report202016.pdf?fileId=1e8f-3bc9-12fcbb01-b74b-0242aab212b2&timestamp=2018-11-29T09:53:05.003Z&storageContext=direct&filename=Annual%20report%202016.pdf"
Mobimo Holding AG;EN;SR;2016;"http://www.mobimo.ch/api/mobimo/files/sustainability_report_2016_en.pdf?fileId=1e9e-3867-e84dc701-a5b5-02421dda7976&timestamp=2019-09-30T13:30:39.927Z&storageContext=direct&filename=Sustainability_Report_2016_EN.pdf"
Mobimo Holding AG;EN;SR;2015;"http://www.mobimo.ch/api/mobimo/files/sustainability_report_2015_en.pdf?fileId=1e9e-b306-0b5b7301-8100-02421dda7976&timestamp=2019-10-10T07:34:22.499Z&storageContext=direct&filename=Sustainability_Report_2015_EN.pdf"
Mobimo Holding AG;EN;AR;2015;"http://www.mobimo.ch/api/mobimo/files/annual20report202015.pdf?fileId=1e8f-3bd8-05fca501-b74b-0242aab212b2&timestamp=2018-11-29T09:59:46.294Z&storageContext=direct&filename=Annual%20report%202015.pdf"
Mobimo Holding AG;EN;AR;2014;"http://www.mobimo.ch/api/mobimo/files/annual20report202014.pdf?fileId=1e8f-3be4-630f6f01-b74b-0242aab212b2&timestamp=2018-11-29T10:05:18.175Z&storageContext=direct&filename=Annual%20report%202014.pdf"
Mobimo Holding AG;EN;AR;2013;"http://www.mobimo.ch/api/mobimo/files/annual20report202013.pdf?fileId=1e8f-3bf7-e1441c01-b74b-0242aab212b2&timestamp=2018-11-29T10:14:01.436Z&storageContext=direct&filename=Annual%20report%202013.pdf"
Mobimo Holding AG;EN;AR;2012;"http://www.mobimo.ch/api/mobimo/files/annual20report202012.pdf?fileId=1e8f-3bf8-49042b01-b74b-0242aab212b2&timestamp=2018-11-29T10:14:12.315Z&storageContext=direct&filename=Annual%20report%202012.pdf"
