company;language;report_type;year;link
Nestlé;EN;AR;2001;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2001-management-report-en.pdf"
Nestlé;FR;AR;2001;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2001-management-report-fr.pdf"
Nestlé;DE;AR;2001;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2001-management-report-de.pdf"
Nestlé;EN;AR;2002;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2002-management-report-en.pdf"
Nestlé;FR;AR;2002;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2002-management-report-fr.pdf"
Nestlé;DE;AR;2002;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2002-management-report-de.pdf"
Nestlé;EN;AR;2003;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2003-management-report-en.pdf"
Nestlé;FR;AR;2003;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2003-management-report-fr.pdf"
Nestlé;DE;AR;2003;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2003-management-report-de.pdf"
Nestlé;EN;AR;2004;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2004-management-report-en.pdf"
Nestlé;FR;AR;2004;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2004-management-report-fr.pdf"
Nestlé;DE;AR;2004;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2004-management-report-de.pdf"
Nestlé;EN;AR;2005;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2005-management-report-en.pdf"
Nestlé;FR;AR;2005;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2005-management-report-fr.pdf"
Nestlé;DE;AR;2005;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2005-management-report-de.pdf"
Nestlé;EN;AR;2006;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2006-management-report-en.pdf"
Nestlé;FR;AR;2006;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2006-management-report-fr.pdf"
Nestlé;DE;AR;2006;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2006-management-report-de.pdf"
Nestlé;EN;AR;2007;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2007-management-report-en.pdf"
Nestlé;FR;AR;2007;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2007-management-report-fr.pdf"
Nestlé;DE;AR;2007;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2007-management-report-de.pdf"
Nestlé;EN;AR;2008;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2008-management-report-en.pdf"
Nestlé;FR;AR;2008;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2008-management-report-fr.pdf"
Nestlé;DE;AR;2008;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2008-management-report-de.pdf"
Nestlé;EN;AR;2009;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2009-annual-report-en.pdf"
Nestlé;FR;AR;2009;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2009-annual-report-fr.pdf"
Nestlé;DE;AR;2009;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2009-annual-report-de.pdf"
Nestlé;EN;AR;2010;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2010-annual-report-en.pdf"
Nestlé;FR;AR;2010;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2010-annual-report-fr.pdf"
Nestlé;DE;AR;2010;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2010-annual-report-de.pdf"
Nestlé;EN;AR;2011;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2011-annual-report-en.pdf"
Nestlé;FR;AR;2011;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2011-annual-report-fr.pdf"
Nestlé;DE;AR;2011;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2011-annual-report-de.pdf"
Nestlé;EN;AR;2012;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2012-annual-report-en.pdf"
Nestlé;FR;AR;2012;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2012-annual-report-fr.pdf"
Nestlé;DE;AR;2012;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2012-annual-report-de.pdf"
Nestlé;EN;AR;2013;"https://www.nestle.com/asset-library/documents/library/documents/annual_reports/2013-annual-review-en.pdf"
