company;language;report_type;year;link
Novartis;EN;AR;2018;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2018-en.pdf"
Novartis;DE;AR;2017;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2017-de.pdf"
Novartis;EN;AR;2017;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2017-en.pdf"
Novartis;EN;AR;2016;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2016-en.pdf"
Novartis;DE;AR;2016;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2016-de.pdf"
Novartis;EN;AR;2015;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2015-en.pdf"
Novartis;DE;AR;2015;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2015-de.pdf"
Novartis;EN;AR;2014;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2014-en.pdf"
Novartis;DE;AR;2014;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2014-de.pdf"
Novartis;EN;AR;2013;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2013-en.pdf"
Novartis;EN;AD;2013;"https://www.novartis.com/sites/www.novartis.com/files/annual-report-2013-compensation-report-addendum.pdf"
Novartis;DE;AR;2013;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2013-de.pdf"
Novartis;EN;AR;2012;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2012-en.pdf"
Novartis;DE;AR;2012;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2012-de.pdf"
Novartis;EN;AR;2011;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2011-en.pdf"
Novartis;DE;AR;2011;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2011-de.pdf"
Novartis;EN;AR;2010;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2010-en.pdf"
Novartis;DE;AR;2010;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2010-de.pdf"
Novartis;FR;AR;2010;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2010-fr.pdf"
Novartis;EN;AR;2007;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2007-en.pdf"
Novartis;DE;AR;2007;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2007-de.pdf"
Novartis;FR;AR;2007;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2007-fr.pdf"
Novartis;EN;AR;2006;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2006-en.pdf"
Novartis;DE;AR;2006;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2006-de.pdf"
Novartis;FR;AR;2006;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2006-fr.pdf"
Novartis;EN;AR;2005;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2005-en.pdf"
Novartis;DE;AR;2005;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2005-de.pdf"
Novartis;FR;AR;2005;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2005-fr.pdf"
Novartis;EN;AR;2004;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2004-en.pdf"
Novartis;DE;AR;2004;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2004-de.pdf"
Novartis;FR;AR;2004;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2004-fr.pdf"
Novartis;EN;AR;2019;"https://www.novartis.com/sites/www.novartis.com/files/novartis-annual-report-2019-en.pdf"
