company;language;report_type;year;link
OC Oerlikon;DE;AR;2018;"https://www.oerlikon.com/ecoma/files/Gesch%C3%A4ftsbericht_2018_DE.pdf"
OC Oerlikon;EN;AR;2018;"https://www.oerlikon.com/ecoma/files/AnnualReport_2018_EN.pdf"
OC Oerlikon;EN;AR;2017;"https://www.oerlikon.com/ecoma/files/GB_17_Full_EN_online.pdf"
OC Oerlikon;DE;AR;2017;"https://www.oerlikon.com/ecoma/files/GB_17_Full_DE_online.pdf"
OC Oerlikon;DE;AR;2016;"https://www.oerlikon.com/ecoma/files/20172802_Oerlikon_2016_Geschaeftsbericht.pdf"
OC Oerlikon;EN;AR;2016;"https://www.oerlikon.com/ecoma/files/20172802_Oerlikon_2016_AnnualReport.pdf"
OC Oerlikon;DE;AR;2015;"https://www.oerlikon.com/ecoma/files/Geschaeftsbericht_2015.pdf"
OC Oerlikon;EN;AR;2015;"https://www.oerlikon.com/ecoma/files/Annual_Report_2015.pdf"
OC Oerlikon;DE;AR;2014;"https://www.oerlikon.com/ecoma/files/Oerlikon_GB2014_DE.pdf"
OC Oerlikon;EN;AR;2014;"https://www.oerlikon.com/ecoma/files/Oerlikon_GB2014_EN.pdf"
OC Oerlikon;DE;AR;2013;"https://www.oerlikon.com/ecoma/files/oerlikon_AR2013_DE.pdf"
OC Oerlikon;EN;AR;2013;"https://www.oerlikon.com/ecoma/files/oerlikon_AR2013_EN.pdf"
OC Oerlikon;DE;AR;2012;"https://www.oerlikon.com/ecoma/files/Oerlikon_Annual_Report_2012_DE.pdf"
OC Oerlikon;EN;AR;2012;"https://www.oerlikon.com/ecoma/files/Oerlikon_Annual_Report_2012_EN.pdf"
OC Oerlikon;DE;AR;2011;"https://www.oerlikon.com/ecoma/files/AR2011_DE.pdf"
OC Oerlikon;EN;AR;2011;"https://www.oerlikon.com/ecoma/files/AR2011_EN.pdf"
OC Oerlikon;DE;AR;2010;"https://www.oerlikon.com/ecoma/files/AR2010_DE_FINAL_low.pdf"
OC Oerlikon;EN;AR;2010;"https://www.oerlikon.com/ecoma/files/AR2010_EN_FINAL_low.pdf"
OC Oerlikon;DE;AR;2009;"https://www.oerlikon.com/ecoma/files/OC_AR09_Final_D.pdf"
OC Oerlikon;EN;AR;2009;"https://www.oerlikon.com/ecoma/files/OC_AR09_doppel_EN_20100426.pdf"
OC Oerlikon;DE;AR;2008;"https://www.oerlikon.com/ecoma/files/OC_AR08_GE.pdf"
OC Oerlikon;EN;AR;2008;"https://www.oerlikon.com/ecoma/files/OC_AR08_EN.pdf"
OC Oerlikon;DE;AR;2007;"https://www.oerlikon.com/ecoma/files/Geschaeftsbericht_2007_d.pdf"
OC Oerlikon;EN;AR;2007;"https://www.oerlikon.com/ecoma/files/Annual_Report_2007_low.pdf"
OC Oerlikon;DE;AR;2006;"https://www.oerlikon.com/ecoma/files/Oerlikon_Annual_Report_2006_d.pdf"
OC Oerlikon;EN;AR;2006;"https://www.oerlikon.com/ecoma/files/Oerlikon_Annual_Report_2006_e.pdf"
