company;language;report_type;year;link
PSP Swiss Property;DE;AR;2017;"https://www.psp.info/fileadmin/internet/investoren/berichte/2017/04_31.12.2017/PSP_GB_2017_d.pdf"
PSP Swiss Property;EN;AR;2017;"https://www.psp.info/fileadmin/internet/investoren/berichte/2017/04_31.12.2017/PSP_GB_2017_e.pdf"
PSP Swiss Property;DE;AR;2016;"https://www.psp.info/fileadmin/internet/investoren/berichte/2016/04_31.12.2016/PSP_GB_2016_d.pdf"
PSP Swiss Property;EN;AR;2016;"https://www.psp.info/fileadmin/internet/investoren/berichte/2016/04_31.12.2016/PSP_GB_2016_e.pdf"
PSP Swiss Property;DE;AR;2015;"https://www.psp.info/fileadmin/internet/investoren/berichte/2015/04_31.12.2015/PSP_GB_2015_d.pdf"
PSP Swiss Property;EN;AR;2015;"https://www.psp.info/fileadmin/internet/investoren/berichte/2015/04_31.12.2015/PSP_GB_2015_e.pdf"
PSP Swiss Property;DE;AR;2014;"https://www.psp.info/fileadmin/internet/investoren/berichte/2014/04_31.12.2014/PSP_GB_2014_Inhalt_d.pdf"
PSP Swiss Property;EN;AR;2014;"https://www.psp.info/fileadmin/internet/investoren/berichte/2014/04_31.12.2014/PSP_GB_2014_Inhalt_e.pdf"
PSP Swiss Property;DE;AR;2013;"https://www.psp.info/fileadmin/internet/investoren/berichte/2013/04_31.12.2013/PSP_GB_2013_d.pdf"
PSP Swiss Property;EN;AR;2013;"https://www.psp.info/fileadmin/internet/investoren/berichte/2013/04_31.12.2013/PSP_GB_2013_e.pdf"
PSP Swiss Property;DE;AR;2018;"https://www.psp.info/fileadmin/internet/investoren/berichte/2018/04_31.12.2018/PSP_GB_2018_de.pdf"
PSP Swiss Property;EN;AR;2018;"https://www.psp.info/fileadmin/internet/investoren/berichte/2018/04_31.12.2018/PSP_GB_2018_en.pdf"
