company;language;report_type;year;link
Partners Group;EN;AR;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_Report_2018_Web.pdf"
Partners Group;EN;AR;2017;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/20180320_Annual_Report_2017_Web.pdf"
Partners Group;EN;AR;2016;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_Report_2016_Web.pdf"
Partners Group;EN;SR;2016;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/ESG_and_Corporate_Responsibility_Report_2016_Web.pdf"
Partners Group;EN;CR;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Compensation_PDFs/Compensation_Report_2016_Web.pdf"
Partners Group;EN;CG;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Corporate_Governance_Report_2016_Web.pdf"
Partners Group;EN;AR;2015;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_Report_2015.pdf"
Partners Group;EN;SR;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/ESG_and_Corporate_Responsibility_PDFs/ESG_and_Corporate_Responsibility_Report_2015_Web.pdf"
Partners Group;EN;CR;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Compensation_PDFs/Compensation_Report_2015.pdf"
Partners Group;EN;CG;2018;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Corporate_Governance_PDFs/Corporate_Governance_Report_2015.pdf"
Partners Group;EN;AR;2014;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_Report_2014.pdf"
Partners Group;EN;AR;2013;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2013.pdf"
Partners Group;EN;AR;2012;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2012.pdf"
Partners Group;EN;AR;2011;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2011.pdf"
Partners Group;EN;AR;2010;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2010.pdf"
Partners Group;EN;AR;2009;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2009.pdf"
Partners Group;EN;AR;2008;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2008.pdf"
Partners Group;EN;AR;2007;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2007.pdf"
Partners Group;EN;AR;2006;"https://www.partnersgroup.com/fileadmin/user_upload/Documents/Financial_PDFs/Annual_report_2006.pdf"
