company;language;report_type;year;link
Post;DE;AR;2017;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2017.pdf?la=de&vs=2"
Post;DE;AR;2016;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2016.pdf?la=de&vs=1"
Post;DE;AR;2015;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2015.pdf?la=de&vs=1"
Post;DE;AR;2014;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2014.pdf?la=de&vs=1"
Post;DE;AR;2013;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2013.pdf?la=de&vs=1"
Post;DE;AR;2012;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2012.pdf?la=de&vs=1"
Post;DE;AR;2011;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2011.pdf?la=de&vs=1"
Post;DE;AR;2010;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2010.pdf?la=de&vs=1"
Post;DE;AR;2009;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2009.pdf?la=de&vs=1"
Post;DE;AR;2008;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/geschaeftsbericht/gb-2008.pdf?la=de&vs=1"
Post;DE;GRI;2017;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2017.pdf?la=de&vs=3"
Post;DE;GRI;2016;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2016.pdf?la=de&vs=2"
Post;DE;GRI;2015;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2015.pdf?la=de&vs=2"
Post;DE;GRI;2014;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2014.pdf?la=de&vs=1"
Post;DE;GRI;2013;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2013.pdf?la=de&vs=1"
Post;DE;GRI;2012;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2012.pdf?la=de&vs=1"
Post;DE;GRI;2011;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2011.pdf?la=de&vs=1"
Post;DE;GRI;2010;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2010.pdf?la=de&vs=1"
Post;DE;GRI;2009;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/gri/gri-bericht-2009.pdf?la=de&vs=1"
Post;DE;FR;2017;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2017.pdf?la=de&vs=1"
Post;DE;FR;2016;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2016.pdf?la=de&vs=1"
Post;DE;FR;2015;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2015.pdf?la=de&vs=1"
Post;DE;FR;2014;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2014.pdf?la=de&vs=1"
Post;DE;FR;2013;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2013.pdf?la=de&vs=1"
Post;DE;FR;2012;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2012.pdf?la=de&vs=1"
Post;DE;FR;2011;"https://www.post.ch/-/media/post/ueber-uns/dokumente/archiv-berichterstattung/finanzbericht/finanzbericht-2011.pdf?la=de&vs=1"
Post;DE;AR;2018;"https://geschaeftsbericht.post.ch/18/ar/app/uploads/DE_Post_Geschaeftsbericht_2018.pdf"
Post;DE;FR;2018;"https://geschaeftsbericht.post.ch/18/ar/app/uploads/DE_Post_Finanzbericht_2018.pdf"
Post;DE;GRI;2018;"https://geschaeftsbericht.post.ch/18/ar/app/uploads/DE_Post_Nachhaltigkeitsbericht_2018.pdf"
