company;language;report_type;year;link
Postfinance;EN;AR;2018;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report2018_info_en.pdf"
Postfinance;EN;AR;2017;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report2017_info_en.pdf"
Postfinance;EN;AR;2016;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report2016_info_en.pdf"
Postfinance;EN;AR;2015;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report2015_info_en.pdf"
Postfinance;EN;AR;2014;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report2014_info_en.pdf"
Postfinance;EN;AR;2013;"https://www.postfinance.ch/content/dam/pfch/doc/ueber_uns/report_info_en.pdf"
Postfinance;DE;AR;2019;"https://geschaeftsbericht.post.ch/19/ar/app/uploads/DE_PostFinance_Geschaeftsbericht_2019.pdf"
Postfinance;EN;AR;2019;"https://geschaeftsbericht.post.ch/19/ar/app/uploads/EN_PostFinance_Geschaeftsbericht_2019.pdf"
Postfinance;FR;AR;2019;"https://geschaeftsbericht.post.ch/19/ar/app/uploads/FR_PostFinance_Geschaeftsbericht_2019.pdf"
Postfinance;IT;AR;2019;"https://geschaeftsbericht.post.ch/19/ar/app/uploads/IT_PostFinance_Geschaeftsbericht_2019.pdf"
