company;language;report_type;year;link
Raiffeisen Gruppe;DE;AR;2019;"https://report.raiffeisen.ch/19/app/uploads/Raiffeisen-Gruppe_AR19_de.pdf"
Raiffeisen Gruppe;DE;GRI;2019;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2019/2019-gri-content-index-de.pdf"
Raiffeisen Gruppe;DE;AR;2018;"https://report.raiffeisen.ch/app/uploads/sites/6/2019/04/Raiffeisen-Gruppe_AR18_de.pdf"
Raiffeisen Gruppe;DE;GRI;2018;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2018/2018-gri-content-index.pdf"
Raiffeisen Gruppe;DE;AR;2017;"https://report.raiffeisen.ch/app/uploads/sites/3/2018/04/Raiffeisen-Gruppe_AR17_de.pdf"
Raiffeisen Gruppe;DE;GRI;2017;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2017/2017-gri-content-index.pdf"
Raiffeisen Gruppe;DE;AR;2018;"https://report.raiffeisen.ch/app/uploads/sites/2/2017/03/Raiffeisen-Gruppe_AR16_de.pdf"
Raiffeisen Gruppe;DE;GRI;2016;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2016/2016-gri-content-index.pdf"
Raiffeisen Gruppe;DE;AR;2015;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2015/2015-geschaeftsbericht-raiffeisen-gruppe.pdf"
Raiffeisen Gruppe;DE;GRI;2015;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2015/2015-gri-content-index.pdf"
Raiffeisen Gruppe;DE;AR;2014;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2014/2014-geschaeftsbericht-raiffeisen-gruppe.pdf"
Raiffeisen Gruppe;DE;GRI;2014;"https://www.raiffeisen.ch/content/dam/www/rch/pdf/abschlusszahlen/de/2014/2014-gri-content-index.pdf"
