company;language;report_type;year;link
Ringier;DE;AR;2018;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2018_de.pdf"
Ringier;EN;AR;2018;"https://www.ringier.ch/sites/default/files/ringier_annual_report_2018_en_1.pdf"
Ringier;FR;AR;2018;"https://www.ringier.ch/sites/default/files/ringier_rapport_annuel_2018_fr.pdf"
Ringier;DE;AR;2017;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2017.pdf"
Ringier;EN;AR;2017;"https://www.ringier.ch/sites/default/files/ringier_annual_report_2017.pdf"
Ringier;FR;AR;2017;"https://www.ringier.ch/sites/default/files/ringier_rapport_annuel_2017.pdf"
Ringier;EN;AR;2016;"https://www.ringier.ch/sites/default/files/ringier_annual_report_2016.pdf"
Ringier;DE;AR;2015;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2015_0.pdf"
Ringier;EN;AR;2015;"https://www.ringier.ch/sites/default/files/ringier_annual_report_2015_2.pdf"
Ringier;FR;AR;2015;"https://www.ringier.ch/sites/default/files/ringier_rapport_annuel_2015_0.pdf"
Ringier;EN;AR;2014;"https://www.ringier.ch/sites/default/files/jahresbericht2014_en.pdf"
Ringier;DE;AR;2014;"https://www.ringier.ch/sites/default/files/jahresbericht2014_de.pdf"
Ringier;FR;AR;2014;"https://www.ringier.ch/sites/default/files/jahresbericht2014_fr.pdf"
Ringier;EN;AR;2013;"https://www.ringier.ch/sites/default/files/low_rjb_2013_228x305_en_0.pdf"
Ringier;DE;AR;2013;"https://www.ringier.ch/sites/default/files/low_rjb_2013_228x305_deutsch_32_0.pdf"
Ringier;FR;AR;2013;"https://www.ringier.ch/sites/default/files/low_rjb_2013_228x305_fr_24_0.pdf"
Ringier;EN;AR;2012;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2012_e.pdf"
Ringier;DE;AR;2012;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2012_d.pdf"
Ringier;FR;AR;2012;"https://www.ringier.ch/sites/default/files/ringier_jahresbericht_2012_f.pdf"
Ringier;EN;AR;2011;"https://www.ringier.ch/sites/default/files/low_ringier_jb_2011_inhalt_englisch_21_3_0.pdf"
Ringier;DE;AR;2011;"https://www.ringier.ch/sites/default/files/low_ringier_jb_2011_inhalt_deutsch_21_3_0.pdf"
Ringier;FR;AR;2011;"https://www.ringier.ch/sites/default/files/low_ringier_jb_2011_inhalt_franz_21_3_0.pdf"
Ringier;EN;AR;2010;"https://www.ringier.ch/sites/default/files/2010_en.pdf"
Ringier;DE;AR;2010;"https://www.ringier.ch/sites/default/files/2010_de.pdf"
Ringier;FR;AR;2010;"https://www.ringier.ch/sites/default/files/2010_fr.pdf"
Ringier;EN;AR;2009;"https://www.ringier.ch/sites/default/files/2009_en.pdf"
Ringier;DE;AR;2009;"https://www.ringier.ch/sites/default/files/2009_de.pdf"
Ringier;FR;AR;2009;"https://www.ringier.ch/sites/default/files/2009_fr.pdf"
Ringier;EN;AR;2008;"https://www.ringier.ch/sites/default/files/2008_en.pdf"
Ringier;DE;AR;2008;"https://www.ringier.ch/sites/default/files/2008_de.pdf"
Ringier;FR;AR;2008;"https://www.ringier.ch/sites/default/files/2008_fr.pdf"
