company;language;report_type;year;link
Ruag;EN;AR;2018;"https://annualreport.ruag.com/2018/sites/ar18/files/media_document/2019-03/RUAG_GB18_EN_full.pdf"
Ruag;DE;AR;2018;"https://annualreport.ruag.com/2018/sites/ar18/files/media_document/2019-03/RUAG_GB18_DE_full.pdf"
Ruag;FR;AR;2018;"https://annualreport.ruag.com/2018/sites/ar18/files/media_document/2019-03/RUAG_GB18_FR_full.pdf"
Ruag;EN;AR;2017;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_Annualreport_2017_full_EN.pdf"
Ruag;DE;AR;2017;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_Annualreport_2017_full_DE.pdf"
Ruag;FR;AR;2017;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_Annualreport_2017_full_FR.pdf"
Ruag;EN;AR;2016;"https://annualreport.ruag.com/sites/ar16/files/media_document/2017-03/RUAG_GB_2016_EN_Web.pdf"
Ruag;DE;AR;2016;"https://annualreport.ruag.com/sites/ar16/files/media_document/2017-03/RUAG_GB_2016_DE_Web_0.pdf"
Ruag;FR;AR;2016;"https://annualreport.ruag.com/sites/ar16/files/media_document/2017-03/RUAG_GB_2016_FR_Web_0.pdf"
Ruag;EN;AR;2015;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2015_72dpi_E.pdf"
Ruag;EN;AR;2014;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG%202014%20GB_EN_web.pdf"
Ruag;EN;AR;2013;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_EN_140313.pdf"
Ruag;EN;AR;2018;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_E.pdf"
Ruag;EN;AR;2012;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/E_GB_RUAG_2012.pdf"
Ruag;EN;AR;2010;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GFB_E_komplett.pdf"
Ruag;EN;AR;2009;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GFB_2009_E.pdf"
Ruag;EN;AR;2008;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/GB%2008_RUAG_e_24-03.pdf"
Ruag;EN;AR;2007;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2007_EN.pdf"
Ruag;EN;AR;2006;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2006_EN.pdf"
Ruag;EN;AR;2005;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2005_EN.pdf"
Ruag;EN;AR;2004;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2004_EN.pdf"
Ruag;DE;AR;2015;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG_GB_2015_72dpi_D_0.pdf"
Ruag;DE;AR;2014;"https://annualreport.ruag.com/sites/ar17/files/media_document/2018-03/RUAG%202014%20GB_DE_web.pdf"
