company;language;report_type;year;link
SBB;DE;AR;2016;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/SBB_Geschaeftsbericht_2016_d.pdf"
SBB;DE;AR;2015;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/Geschaefts_und_Nachhaltigkeitsbericht_SBB_2015.pdf"
SBB;DE;AR;2014;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB_2014.pdf"
SBB;DE;AR;2013;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GBNB_2013_de.pdf"
SBB;DE;AR;2012;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/Geschaeftsbericht_DE.pdf"
SBB;DE;AR;2011;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2011_d.pdf"
SBB;DE;AR;2010;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_d_mit_ug_gesamt.pdf"
SBB;DE;AR;2009;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2009_d.pdf"
SBB;DE;AR;2008;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2008_d.pdf"
SBB;DE;AR;2007;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2007_d.pdf"
SBB;DE;AR;2006;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2006_d.pdf"
SBB;DE;AR;2005;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2005_d.pdf"
SBB;DE;AR;2004;"https://company.sbb.ch/content/dam/sbb/de/pdf/sbb-konzern/medien/publikationen/GB-Archiv/SBB_GB2004_d.pdf"
SBB;DE;AR;2017;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Geschaeftsbericht-2017.pdf"
SBB;DE;GRI;2017;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Bericht-GRI-2017.pdf"
SBB;DE;AR;2018;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Geschaefts-und-Nachhaltigkeitsbericht.pdf"
SBB;DE;GRI;2018;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Bericht-gemaess-GRI-Standards.pdf"
SBB;DE;FR;2018;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Finanzbericht.pdf"
SBB;DE;FR;2019;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaeftsbericht/SBB-Geschaeftsbericht-2019.pdf"
SBB;DE;GRI;2019;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Bericht-GRI-Standards-2019.pdf"
SBB;DE;FR;2019;"https://company.sbb.ch/content/dam/internet/corporate/de/medien/publikationen/geschaefts-nachhaltigkeitsbericht/SBB-Finanzbericht-2019.pdf"
