company;language;report_type;year;link
SGS;EN;AR;2017;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2017/sgs-2017-annual-report.pdf"
SGS;EN;AR;2016;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2016/sgs-2016-annual-report-en.pdf"
SGS;EN;AR;2015;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2015/sgs-2015-annual-report-en.pdf"
SGS;EN;AR;2014;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2014/annual-report-ar-2014-en.pdf"
SGS;EN;AR;2013;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2013/sgs-ar-2013-annual-report.pdf"
SGS;EN;AR;2012;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2012/sgs-2012-ar-book2-spread-en.pdf"
SGS;EN;AR;2011;"https://www.sgs.com/-/media/global/documents/financial-documents/sgs-ar-2011-book2.pdf"
SGS;EN;AR;2010;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2010/sgs-2010-ar-en.pdf"
SGS;EN;AR;2009;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2009/sgs-2009-ar-en.pdf"
SGS;EN;AR;2008;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2008/sgs-2008-ar-en.pdf"
SGS;EN;AR;2007;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2007/sgs-2007-ar-en.pdf"
SGS;EN;AR;2006;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2006/sgs-2006-ar-en.pdf"
SGS;EN;AR;2005;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2005/sgs-2005-ar-en.pdf"
SGS;EN;AR;2004;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2004/sgs-2004-ar-en.pdf"
SGS;EN;AR;2003;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2003/sgs-2003-ar-en.pdf"
SGS;EN;AR;2002;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2002/sgs-2002-ar-en.pdf"
SGS;EN;AR;2001;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2001/sgs-2001-ar-en.pdf"
SGS;EN;AR;2018;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2018/sgs-2018-annual-report.pdf"
SGS;EN;AR;2018;"https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2019/sgs-2019-annual-report.pdf"
