company;language;report_type;year;link
SIX SIS;EN;AR;2018;"https://www.six-group.com/dam/download/company/report/annual/2018/six-annual-report-2018-en.pdf"
SIX SIS;EN;AR;2017;"https://www.six-group.com/dam/download/company/report/annual/2017/six-annual-report-2017-en.pdf"
SIX SIS;EN;AR;2016;"https://www.six-group.com/dam/download/company/report/annual/2016/six-annual-report-2016-en.pdf"
SIX SIS;EN;AR;2015;"https://www.six-group.com/dam/download/company/report/annual/2015/six-annual-report-2015-de.pdf"
SIX SIS;EN;AR;2014;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2014/annualreport-six-sis-2014-en.pdf"
SIX SIS;EN;AR;2013;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2013/annualreport-six-sis-2013-en.pdf"
SIX SIS;EN;AR;2012;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2012/annualreport-six-sis-12-de.pdf"
SIX SIS;EN;AR;2011;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2011/annualreport-six-sis11-de.pdf"
SIX SIS;EN;AR;2010;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2010/annualreport-six-sis10-de.pdf"
SIX SIS;EN;AR;2009;"https://www.six-group.com/securities-services/dam/downloads/annual-report/2009/annualreport-six-sis09-de.pdf"
SIX SIS;EN;AR;2019;"https://www.six-group.com/dam/download/company/report/annual/2019/six-annual-report-2019-en.pdf"
SIX SIS;DE;AR;2015;"https://www.six-group.com/dam/download/company/report/annual/2015/six-annual-report-2015-de.pdf"
SIX SIS;DE;AR;2016;"https://www.six-group.com/dam/download/company/report/annual/2016/six-annual-report-2016-de.pdf"
SIX SIS;DE;AR;2017;"https://www.six-group.com/dam/download/company/report/annual/2017/six-geschaeftsbericht-2017-de.pdf"
SIX SIS;FR;AR;2015;"https://www.six-group.com/dam/download/company/report/annual/2015/six-annual-report-2015-fr.pdf"
