company;language;report_type;year;link
Schindler Holding;EN;AR;2019;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_7804229/downloadList/356_1581655200565.download.asset.356_1581655200565/2019-schindler-annual-report-e.pdf"
Schindler Holding;DE;AR;2019;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_745376/downloadList/konzern_bersicht.download.asset.konzern_bersicht/2019-schindler-annual-report-d.pdf"
Schindler Holding;EN;AR;2018;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_1094015204/downloadList/group_review.download.asset.group_review/2018-schindler-annual-report-e.pdf"
Schindler Holding;DE;AR;2018;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_1359014704/downloadList/35_1567517696812.download.asset.35_1567517696812/2018-schindler-annual-report-d.pdf"
Schindler Holding;EN;AR;2017;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_765186277/downloadList/group_review.download.asset.group_review/SchindlerAR2017_complete_e.pdf"
Schindler Holding;DE;AR;2017;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_382025145/downloadList/35_1567517696812.download.asset.35_1567517696812/SchindlerAR2017_complete_d.pdf"
Schindler Holding;EN;AR;2016;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_175757305/downloadList/190_1518607753456.download.asset.190_1518607753456/schindler-ar2016-complete-en.pdf"
Schindler Holding;DE;AR;2016;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_1440733781/downloadList/148_1517239537890.download.asset.148_1517239537890/schindler-ar2016-complete-de.pdf"
Schindler Holding;EN;AR;2015;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_2000416663/downloadList/155_1517240960584.download.asset.155_1517240960584/schindler-ar2015-complete-en.pdf"
Schindler Holding;DE;AR;2015;"https://www.schindler.com/com/internet/en/investor-relations/reports/_jcr_content/contentPar/downloadlistcontent_1489247334/downloadList/152_1517240419722.download.asset.152_1517240419722/schindler-ar2015-complete-de.pdf"
Schindler Holding;EN;AR;2014;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1330844808/downloadList/76_1569504936599.download.asset.76_1569504936599/schindler-ar2014-complete-en.pdf"
Schindler Holding;DE;AR;2014;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_717625168/downloadList/39_1569417474048.download.asset.39_1569417474048/schindler-ar2014-complete-de.pdf"
Schindler Holding;EN;AR;2013;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_344012527/downloadList/76_1569504936599.download.asset.76_1569504936599/annual-report-2013-en.pdf"
Schindler Holding;DE;AR;2013;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1415512299/downloadList/39_1569417474048.download.asset.39_1569417474048/annual-report-2013-de.pdf"
Schindler Holding;EN;AR;2012;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1587780185/downloadList/316_1518014104133.download.asset.316_1518014104133/annual-report-2012-en.pdf"
Schindler Holding;DE;AR;2012;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1784437284/downloadList/318_1518014142021.download.asset.318_1518014142021/annual-report-2012-de.pdf"
Schindler Holding;EN;AR;2011;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_698930376/downloadList/331_1518019784741.download.asset.331_1518019784741/annual-report-2011-en.pdf"
Schindler Holding;DE;AR;2011;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_812191988/downloadList/332_1518019812676.download.asset.332_1518019812676/annual-report-2011-de.pdf"
Schindler Holding;EN;AR;2010;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_546171559/downloadList/341_1518020559109.download.asset.341_1518020559109/annual-report-2010-en.pdf"
Schindler Holding;DE;AR;2010;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1332483205/downloadList/343_1518020669092.download.asset.343_1518020669092/annual-report-2010-de.pdf"
Schindler Holding;EN;AR;2009;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_2078134862/downloadList/351_1518021336767.download.asset.351_1518021336767/annual-report-2009-en.pdf"
Schindler Holding;DE;AR;2009;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_220489029/downloadList/353_1518021428016.download.asset.353_1518021428016/annual-report-2009-de.pdf"
Schindler Holding;EN;AR;2008;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1414274920/downloadList/361_1518022046712.download.asset.361_1518022046712/annual-report-2008-en.pdf"
Schindler Holding;DE;AR;2008;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1842662753/downloadList/363_1518022176142.download.asset.363_1518022176142/annual-report-2008-de.pdf"
Schindler Holding;EN;AR;2007;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_658054573/downloadList/370_1518022808747.download.asset.370_1518022808747/annual-report-2007-en.pdf"
Schindler Holding;DE;AR;2007;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_193130104/downloadList/372_1518022958819.download.asset.372_1518022958819/annual-report-2007-de.pdf"
Schindler Holding;EN;AR;2006;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_843172896/downloadList/379_1518023387889.download.asset.379_1518023387889/annual-report-2006-en.pdf"
Schindler Holding;DE;AR;2006;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_2010849188/downloadList/381_1518023519155.download.asset.381_1518023519155/annual-report-2006-de.pdf"
Schindler Holding;EN;AR;2005;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_2068847738/downloadList/388_1518086405912.download.asset.388_1518086405912/annual-report-2005-en.pdf"
Schindler Holding;DE;AR;2005;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_533264509/downloadList/390_1518086571169.download.asset.390_1518086571169/annual-report-2005-de.pdf"
Schindler Holding;EN;AR;2004;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1697015334/downloadList/397_1518087211618.download.asset.397_1518087211618/annual-report-2004-en.pdf"
Schindler Holding;DE;AR;2004;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_625115731/downloadList/399_1518087317298.download.asset.399_1518087317298/annual-report-2004-de.pdf"
Schindler Holding;EN;AR;2003;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1357479283/downloadList/407_1518090989869.download.asset.407_1518090989869/annual-report-2003-en.pdf"
Schindler Holding;DE;AR;2003;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1708964478/downloadList/409_1518091186405.download.asset.409_1518091186405/annual-report-2003-de.pdf"
Schindler Holding;EN;AR;2002;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1947589368/downloadList/416_1518091535314.download.asset.416_1518091535314/annual-report-2002-en.pdf"
Schindler Holding;DE;AR;2002;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_343731092/downloadList/418_1518091640021.download.asset.418_1518091640021/annual-report-2002-de.pdf"
Schindler Holding;EN;AR;2001;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1920761195/downloadList/426_1518092081137.download.asset.426_1518092081137/annual-report-2001-en.pdf"
Schindler Holding;DE;AR;2001;"https://www.schindler.com/com/internet/en/investor-relations/reports/archive/_jcr_content/contentPar/downloadlistcontent_1541382924/downloadList/428_1518092175669.download.asset.428_1518092175669/annual-report-2001-de.pdf"
