company;language;report_type;year;link
Schweizerische Nationalbank;DE;AR;2018;"https://www.snb.ch/de/mmr/reference/annrep_2018_komplett/source/annrep_2018_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2017;"https://www.snb.ch/de/mmr/reference/annrep_2017_komplett/source/annrep_2017_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2016;"https://www.snb.ch/de/mmr/reference/annrep_2016_komplett/source/annrep_2016_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2015;"https://www.snb.ch/de/mmr/reference/annrep_2015_komplett/source/annrep_2015_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2014;"https://www.snb.ch/de/mmr/reference/annrep_2014_komplett/source/annrep_2014_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2013;"https://www.snb.ch/de/mmr/reference/annrep_2013_komplett/source/annrep_2013_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2012;"https://www.snb.ch/de/mmr/reference/annrep_2012_komplett/source/annrep_2012_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2011;"https://www.snb.ch/de/mmr/reference/annrep_2011_komplett/source/annrep_2011_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2010;"https://www.snb.ch/de/mmr/reference/annrep_2010_komplett/source/annrep_2010_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2009;"https://www.snb.ch/de/mmr/reference/annrep_2009_komplett/source/annrep_2009_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2008;"https://www.snb.ch/de/mmr/reference/annrep_2008_komplett/source/annrep_2008_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2007;"https://www.snb.ch/de/mmr/reference/annrep_2007_komplett/source/annrep_2007_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2006;"https://www.snb.ch/de/mmr/reference/annrep_2006_komplett/source/annrep_2006_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2005;"https://www.snb.ch/de/mmr/reference/annrep_2005_komplett/source/annrep_2005_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2004;"https://www.snb.ch/de/mmr/reference/annrep_2004_komplett/source/annrep_2004_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2003;"https://www.snb.ch/de/mmr/reference/annrep_2003_komplett/source/annrep_2003_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2002;"https://www.snb.ch/de/mmr/reference/annrep_2002_komplett/source/annrep_2002_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2001;"https://www.snb.ch/de/mmr/reference/annrep_2001_komplett/source/annrep_2001_komplett.de.pdf"
Schweizerische Nationalbank;DE;AR;2000;"https://www.snb.ch/de/mmr/reference/annrep_2000_komplett/source/annrep_2000_komplett.de.pdf"
