company;language;report_type;year;link
Schwyzer Kantonalbank;DE;AR;2019;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2019.pdf?sfvrsn=f5e4dd49_10"
Schwyzer Kantonalbank;DE;AR;2018;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-201849feb10812cc6e19bc90ff000098d758.pdf?sfvrsn=ae32df49_9"
Schwyzer Kantonalbank;DE;AR;2017;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2017.pdf?sfvrsn=c895de49_8"
Schwyzer Kantonalbank;DE;AR;2016;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2016.pdf?sfvrsn=5f96c049_10"
Schwyzer Kantonalbank;DE;AR;2015;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2015.pdf?sfvrsn=19c2c549_12"
Schwyzer Kantonalbank;DE;AR;2014;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2014.pdf?sfvrsn=cacc949_16"
Schwyzer Kantonalbank;DE;AR;2013;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2013.pdf?sfvrsn=f172cc49_5"
Schwyzer Kantonalbank;DE;AR;2012;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2012.pdf?sfvrsn=8ce5f849_6"
Schwyzer Kantonalbank;DE;AR;2011;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2011.pdf?sfvrsn=bee5f849_4"
Schwyzer Kantonalbank;DE;AR;2010;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2010.pdf?sfvrsn=b7e5f849_6"
Schwyzer Kantonalbank;DE;AR;2009;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2009.pdf?sfvrsn=bfe5f849_4"
Schwyzer Kantonalbank;DE;AR;2008;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2008.pdf?sfvrsn=a47bf549_6"
Schwyzer Kantonalbank;DE;AR;2007;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2007.pdf?sfvrsn=ae7bf549_4"
Schwyzer Kantonalbank;DE;AR;2006;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2006.pdf?sfvrsn=a97bf549_6"
Schwyzer Kantonalbank;DE;AR;2005;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2005.pdf?sfvrsn=d27bf549_4"
Schwyzer Kantonalbank;DE;AR;2004;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2004.pdf?sfvrsn=a87bf549_4"
Schwyzer Kantonalbank;DE;AR;2003;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2003.pdf?sfvrsn=d37bf549_6"
Schwyzer Kantonalbank;DE;AR;2002;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2002.pdf?sfvrsn=d07bf549_6"
Schwyzer Kantonalbank;DE;AR;2001;"http://www.szkb.ch/docs/default-source/medien/geschaeftsbericht/gesch%c3%a4ftsbericht-2001.pdf?sfvrsn=a67bf549_6"
