company;language;report_type;year;link
Sika AG;EN;AR;2018;"https://www.sika.com/content/dam/dms/corporate/b/Sika%20Annual%20Report%202018.pdf"
Sika AG;DE;AR;2018;"https://www.sika.com/content/dam/dms/corporate/0/Sika%20Gesch%C3%A4ftsbericht%202018.pdf"
Sika AG;EN;AR;2017;"https://www.sika.com/content/dam/dms/corporate/7/Sika%20Annual%20Report%202017.pdf"
Sika AG;EN;AR;2016;"https://www.sika.com/content/dam/dms/corporate/y/glo-Sika-Annual-Report-2016.pdf"
Sika AG;EN;AR;2015;"https://www.sika.com/content/dam/dms/corporate/4/Sika-Annual-Report-2015.pdf"
Sika AG;EN;AR;2014;"https://www.sika.com/content/dam/dms/corporate/u/Sika%20Annual%20Report%202014.pdf"
Sika AG;EN;AR;2013;"https://www.sika.com/content/dam/dms/corporate/i/Sika-Annual-Report-2013.pdf"
Sika AG;EN;AR;2012;"https://www.sika.com/content/dam/dms/corporate/b/Sika-Annual-Report-2012.pdf"
Sika AG;EN;AR;2011;"https://www.sika.com/content/dam/dms/corporate/1/Sika-Annual-Report-Full-2011.pdf"
Sika AG;EN;AR;2010;"https://www.sika.com/content/dam/dms/corporate/c/Sika-Annual-Report-2010-Full.pdf"
Sika AG;EN;AR;2009;"https://www.sika.com/content/dam/dms/corporate/6/Sika-Annual-Report-Full-2009.pdf"
Sika AG;DE;AR;2017;"https://www.sika.com/content/dam/dms/corporate/v/glo-sika-geschaeftsjahr-2017.pdf"
Sika AG;DE;AR;2016;"https://www.sika.com/content/dam/dms/corporate/e/glo-sika-geschaeftsjahr-2016.pdf"
Sika AG;DE;AR;2015;"https://www.sika.com/content/dam/dms/corporate/g/glo-sika-geschaeftsjahr-2015.pdf"
Sika AG;DE;AR;2014;"https://www.sika.com/content/dam/dms/corporate/s/glo-sika-geschaeftsjahr-2014.pdf"
Sika AG;DE;AR;2013;"https://www.sika.com/content/dam/dms/corporate/3/glo-sika-geschaeftsjahr-2013.pdf"
Sika AG;DE;AR;2012;"https://www.sika.com/content/dam/dms/corporate/b/glo-sika-geschaeftsjahr-2012.pdf"
Sika AG;DE;AR;2011;"https://www.sika.com/content/dam/dms/corporate/d/glo-sika-geschaeftsjahr-2011.pdf"
Sika AG;DE;AR;2010;"https://www.sika.com/content/dam/dms/corporate/m/glo-sika-geschaeftsjahr-2010.pdf"
Sika AG;DE;AR;2009;"https://www.sika.com/content/dam/dms/corporate/v/glo-sika-geschaeftsjahr-2009.pdf"
Sika AG;EN;AR;2019;"https://www.sika.com/content/dam/dms/corporate/x/NEW-glo-annual-report-2019-sika-business-year-new.pdf"
Sika AG;DE;AR;2019;"https://www.sika.com/content/dam/dms/corporate/media/glo-geschaeftsjahr-2019-geschaeftsbericht.pdf"
