company;language;report_type;year;link
Skyguide;EN;AR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-Annual-Report/en/index.html"
Skyguide;EN;SR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-environmental-report/en/mobile/index.html"
Skyguide;EN;AR;2018;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2018-Annual-Report/en/index.html"
Skyguide;EN;AR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/E_sky_RA_2017.pdf"
Skyguide;EN;SR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/E_sky_Environnement_2017.pdf"
Skyguide;EN;AR;2016;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2016/E_sky_RA_2016.pdf"
Skyguide;EN;AR;2015;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2015/E_sky_RA_2015.pdf"
Skyguide;EN;AR;2014;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2014/E_sky_RA_2014.pdf"
Skyguide;EN;AR;2013;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2013/E_sky_RA_2013.pdf"
Skyguide;EN;AR;2012;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2012/E_sky_RA_2012.pdf"
Skyguide;EN;AR;2011;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2011/E_sky_RA_2011.pdf"
Skyguide;EN;AR;2010;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2010_e.pdf"
Skyguide;EN;AR;2009;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2009_e.pdf"
Skyguide;EN;AR;2008;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2008_e.pdf"
Skyguide;EN;AR;2007;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2007_e.pdf"
Skyguide;EN;AR;2006;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2006_e.pdf"
Skyguide;EN;AR;2005;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2005_e.pdf"
Skyguide;EN;AR;2004;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2004_e.pdf"
Skyguide;EN;AR;2003;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2003_e.pdf"
Skyguide;EN;AR;2002;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2002_e.pdf"
Skyguide;EN;AR;2001;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2001_e.pdf"
Skyguide;DE;AR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-Annual-Report/de/mobile/index.html"
Skyguide;DE;SR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-environmental-report/de/mobile/index.html"
Skyguide;DE;AR;2018;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2018-Annual-Report/de/index.html"
Skyguide;DE;AR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/D_sky_RA_2017.pdf"
Skyguide;DE;SR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/D_sky_Environnement_2017.pdf"
Skyguide;DE;AR;2016;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2016/D_sky_RA_2016.pdf"
Skyguide;DE;AR;2015;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2015/D_sky_RA_2015.pdf"
Skyguide;DE;AR;2014;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2014/D_sky_RA_2014.pdf"
Skyguide;DE;AR;2013;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2013/D_sky_RA_2013.pdf"
Skyguide;DE;AR;2012;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2012/D_sky_RA_2012.pdf"
Skyguide;DE;AR;2011;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2011/D_sky_RA_2011.pdf"
Skyguide;DE;AR;2010;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2010_d.pdf"
Skyguide;DE;AR;2009;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2009_d.pdf"
Skyguide;DE;AR;2008;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2008_d.pdf"
Skyguide;DE;AR;2007;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2007_d.pdf"
Skyguide;DE;AR;2006;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2006_d.pdf"
Skyguide;DE;AR;2005;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2005_d.pdf"
Skyguide;DE;AR;2004;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2004_d.pdf"
Skyguide;DE;AR;2003;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2003_d.pdf"
Skyguide;DE;AR;2002;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2002_d.pdf"
Skyguide;DE;AR;2001;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2001_d.pdf"
Skyguide;FR;AR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-Annual-Report/fr/mobile/index.html"
Skyguide;FR;SR;2019;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2019-environmental-report/fr/mobile/index.html"
Skyguide;FR;AR;2018;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/2018-Annual-Report/fr/index.html"
Skyguide;FR;AR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/F_sky_RA_2017.pdf"
Skyguide;FR;SR;2017;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2017/F_sky_Environnement_2017.pdf"
Skyguide;FR;AR;2016;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2016/F_sky_RA_2016.pdf"
Skyguide;FR;AR;2015;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2015/F_sky_RA_2015.pdf"
Skyguide;FR;AR;2014;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2014/F_sky_RA_2014.pdf"
Skyguide;FR;AR;2013;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2013/F_sky_RA_2013.pdf"
Skyguide;FR;AR;2012;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2012/F_sky_RA_2012.pdf"
Skyguide;FR;AR;2011;"https://www.skyguide.ch/wp-content/uploads/fileadmin/webpublications/PDF-RA-NEW/2011/F_sky_RA_2011.pdf"
Skyguide;FR;AR;2010;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2010_f.pdf"
Skyguide;FR;AR;2009;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2009_f.pdf"
Skyguide;FR;AR;2008;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2008_f.pdf"
Skyguide;FR;AR;2007;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2007_f.pdf"
Skyguide;FR;AR;2006;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2006_f.pdf"
Skyguide;FR;AR;2005;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2005_f.pdf"
Skyguide;FR;AR;2004;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2004_f.pdf"
Skyguide;FR;AR;2003;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2003_f.pdf"
Skyguide;FR;AR;2002;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2002_f.pdf"
Skyguide;FR;AR;2001;"https://www.skyguide.ch/wp-content/uploads/fileadmin/user_upload/publications/annual-reports/skyguide_AR_2001_f.pdf"
