company;language;report_type;year;link
Sonova Holding AG;EN;AR;2019;"https://relaunch.sonova.com/cdn/ff/tHbsLwIa7hdf-SFaTXLBXvhKr2KNPsGIzR1Dzlqtrb0/1562055311/public/2019-07/00_sonova_ar18_full_report_en_low.pdf"
Sonova Holding AG;EN;AR;2018;"https://relaunch.sonova.com/cdn/ff/OlVYvausSzCjO1KAlSn4y9SQ_AxMtq9GcFhFHoHbwiQ/1562055760/public/2019-07/00_sonova_ar17_full_report_en.pdf"
Sonova Holding AG;EN;AR;2017;"https://relaunch.sonova.com/cdn/ff/v6cAjEvV1U_mSx0Va1hasKNXH6Hz4VIOzRCbZV98oF8/1562056326/public/2019-07/01_sonova_annual_report_2016_17_full_en.pdf"
Sonova Holding AG;EN;AR;2016;"https://relaunch.sonova.com/cdn/ff/Iq2jBnsgpt_b0HTj9t9y0mbF2lmuowBu0I494uO5_pk/1562057185/public/2019-07/so_geschaeftsbericht_2015_16_gesamt_en.pdf"
Sonova Holding AG;EN;AR;2015;"https://relaunch.sonova.com/cdn/ff/LnCZUcKD6PH25zRa3TMnk5pDr-PTUc4kAVC8NWnxJ-Q/1562058066/public/2019-07/01_Sonova_FULL_Annual_Report_2014_15_en.pdf"
Sonova Holding AG;EN;AR;2014;"https://relaunch.sonova.com/cdn/ff/dE1-ess2f0_sqaLuW1JiWZXeKRg0Ju3xPh8ycJA28po/1562058421/public/2019-07/AnnualReport_13_14_full.pdf"
Sonova Holding AG;EN;AR;2013;"https://relaunch.sonova.com/cdn/ff/aajszMmEqsiUpfMab1aD8pjAV9BqFpUJqtEE1ruaXmM/1562058674/public/2019-07/Annual%20Report%202012%202013_Sonova_EN_web_0.pdf"
Sonova Holding AG;EN;AR;2012;"https://relaunch.sonova.com/cdn/ff/xKy5MRXdYMlq0pk7apG1pIUEum_-TNmUcesZ3r7AjSM/1562066514/public/2019-07/SO_AR_11_12_EN_WEB[1].pdf"
Sonova Holding AG;EN;AR;2011;"https://relaunch.sonova.com/cdn/ff/k2T6IhocFVgJIzYcp4JPsxtpzhTGufVgNFG-Vw4qAlY/1562066812/public/2019-07/Annual%20Report%202010_11.pdf"
Sonova Holding AG;EN;AR;2010;"https://relaunch.sonova.com/cdn/ff/6Uz5_SPiHIpU1TalSsatbeohj_UdfFnhqZ4bph_M9xs/1562067047/public/2019-07/Annual%20Report_2009_10.pdf"
Sonova Holding AG;EN;AR;2009;"https://relaunch.sonova.com/cdn/ff/DSMHD3psEF_0_rfdBnWKLB5iW5OvVF0ucSdwxRTt5DA/1562067275/public/2019-07/Annual%20Report_2008_09.pdf"
Sonova Holding AG;EN;AR;2008;"https://relaunch.sonova.com/cdn/ff/OvOupQ1DaYrGidLIZe1ifjAQMesvZBWhMW8dgk1QiL4/1562067470/public/2019-07/Sonova%20Annual%20Report%202007_08_e.pdf"
Sonova Holding AG;EN;AR;2007;"https://relaunch.sonova.com/cdn/ff/T2179D7u7d6kwy8wxLOH8PUV1G9shGKEeb_LPPNMlIM/1562067675/public/2019-07/Annual%20Report%202006_07.pdf"
Sonova Holding AG;EN;AR;2006;"https://relaunch.sonova.com/cdn/ff/5cELe-xr3BeT7K9G_WRKwQ9AOphIT74bHp2tgZuQpnM/1562067916/public/2019-07/Annual%20Report%202005_06.pdf"
Sonova Holding AG;EN;AR;2005;"https://relaunch.sonova.com/cdn/ff/GhLE51dXa_OEMzbk1oaq5TOaBJFXM94R9wmrHcRtEFg/1562068144/public/2019-07/Annual%20Report%202004_05.pdf"
Sonova Holding AG;EN;AR;2004;"https://relaunch.sonova.com/cdn/ff/6cZ_tDXjqrxIINdXYUpxwNEK4lOAxu3zqd99EEs1ASg/1562068346/public/2019-07/Annual%20Report%202003_04.pdf"
Sonova Holding AG;DE;AR;2004;"https://relaunch.sonova.com/cdn/ff/Jn3u-6WlvGhucnHgPKM-DWfdpsTsjag02a4EWTzdIVE/1563884757/public/2019-07/Gesch%C3%A4ftsbericht%202003_04_0.pdf"
Sonova Holding AG;DE;AR;2005;"https://relaunch.sonova.com/cdn/ff/cGMoLBD9T40APyw2SH-iSayJ2wZVlj2Wy_XRG0ud21s/1563884571/public/2019-07/Gesch%C3%A4ftsbericht%202004_05_1.pdf"
Sonova Holding AG;DE;AR;2006;"https://relaunch.sonova.com/cdn/ff/W70zinvHAd71qLj5O37-xhlgn1fmduzr03p-BoKTPJQ/1563884348/public/2019-07/Gesch%C3%A4ftsbericht%202005_06_0.pdf"
Sonova Holding AG;DE;AR;2007;"https://relaunch.sonova.com/cdn/ff/CvW7mvJvdUvSwC92yUTycoagOjgVVAj35omX8fs3j1U/1563884101/public/2019-07/Gesch%C3%A4ftsbericht%202006_07_0.pdf"
Sonova Holding AG;DE;AR;2008;"https://relaunch.sonova.com/cdn/ff/C1uHKya4uBup6DjDv2oGQ9p0rwm9gW7YEBtItkuGwio/1563883891/public/2019-07/Sonova%20Annual%20Report%202007_08_d_0.pdf"
Sonova Holding AG;DE;AR;2009;"https://relaunch.sonova.com/cdn/ff/brwULhio-M4PqWzgoWDAqn8UEd_3mz-t6D3Di3S1ryo/1563883663/public/2019-07/Gesch%C3%A4ftsbericht%202008_09_0.pdf"
Sonova Holding AG;DE;AR;2010;"https://relaunch.sonova.com/cdn/ff/hkosKB0N5_RcaLmcs3ltiGy6p6LA8c8XDTnm-KAV_Jk/1563883455/public/2019-07/Gesch%C3%A4ftsbericht_2009_10_0.pdf"
Sonova Holding AG;DE;AR;2011;"https://relaunch.sonova.com/cdn/ff/v12lxGug7fba5nsLwGz8Tnj13FEo5d56ltXAj25CV3I/1563883250/public/2019-07/Gesch%C3%A4ftsbericht%202010_11_0.pdf"
Sonova Holding AG;DE;AR;2012;"https://relaunch.sonova.com/cdn/ff/36kcd704VpRc3ON8lziW-S7bWI31iJM2IB_tFaPCweg/1563882976/public/2019-07/SO_AR_11_12_DE_WEBkorrg_0.pdf"
Sonova Holding AG;DE;AR;2013;"https://relaunch.sonova.com/cdn/ff/9mkGzz4rDbSL853aC9CPmfFacin5DSXas7XUKb4zBag/1563882743/public/2019-07/Gesch%C3%A4ftsbericht%202012%202013_Sonova_0.pdf"
Sonova Holding AG;DE;AR;2014;"https://relaunch.sonova.com/cdn/ff/H9F7kcrp-i2w3DG3UgWwl-MNkn_rroH5OotBgo7eI3Q/1563882457/public/2019-07/Gesch%C3%A4ftsbericht_13_14_komplett_0.pdf"
Sonova Holding AG;DE;AR;2015;"https://relaunch.sonova.com/cdn/ff/YJ63sf1v7M-GKi2-HIl4B_khl3Eeo8EsVs77GpAEmxE/1563882183/public/2019-07/01_Sonova_FULL_Annual_Report_2014_15_de_0.pdf"
