company;language;report_type;year;link
Sonova;EN;AR;2018;"https://www.sonova.com/de/system/files/00_sonova_ar17_full_report_en.pdf"
Sonova;EN;CR;2018;"https://www.sonova.com/de/system/files/01_05_sonova_gb17_bt_verguetungsbericht.pdf"
Sonova;EN;SR;2018;"https://www.sonova.com/de/system/files/03_00_sonova_ar17_csr_report_en.pdf"
Sonova;DE;AR;2017;"https://www.sonova.com/de/system/files/01_sonova_annual_report_2016_17_full_de.pdf"
Sonova;DE;AR;2016;"https://www.sonova.com/de/system/files/so_geschaeftsbericht_2015_16_gesamt_de.pdf"
Sonova;DE;AR;2015;"https://www.sonova.com/de/system/files/01_Sonova_FULL_Annual_Report_2014_15_de.pdf"
Sonova;DE;AR;2014;"https://www.sonova.com/sites/default/files/Gesch%C3%A4ftsbericht_13_14_komplett.pdf"
Sonova;DE;AR;2013;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202012%202013_Sonova.pdf"
Sonova;DE;AR;2012;"https://www.sonova.com/de/system/files/SO_AR_11_12_DE_WEBkorrg.pdf"
Sonova;DE;AR;2011;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202010_11.pdf"
Sonova;DE;AR;2010;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht_2009_10.pdf"
Sonova;DE;AR;2009;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202008_09.pdf"
Sonova;DE;AR;2008;"https://www.sonova.com/de/system/files/Sonova%20Annual%20Report%202007_08_d.pdf"
Sonova;DE;AR;2007;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202006_07.pdf"
Sonova;DE;AR;2006;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202005_06.pdf"
Sonova;DE;AR;2005;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202004_05.pdf"
Sonova;DE;AR;2004;"https://www.sonova.com/de/system/files/Gesch%C3%A4ftsbericht%202003_04.pdf"
Sonova;DE;AR;2019;"https://report.sonova.com/2019/app/uploads/00_Sonova_AR18_Full_Report_en.pdf"
