company;language;report_type;year;link
St.Galler Kantonalbank AG;DE;AR;2019;"https://www.sgkb.ch/download/online/sgkb-geschaeftsbericht2019.pdf"
St.Galler Kantonalbank AG;DE;AR;2018;"https://www.sgkb.ch/download/online/SGKB-Geschaeftsbericht-2018.pdf"
St.Galler Kantonalbank AG;DE;AR;2017;"https://www.sgkb.ch/download/online/SGKB-Geschaeftsbericht-2017_1.pdf"
St.Galler Kantonalbank AG;DE;AR;2016;"https://www.sgkb.ch/download/online/sgkb-geschaeftsbericht-2016.pdf"
St.Galler Kantonalbank AG;DE;AR;2015;"https://www.sgkb.ch/download/online/SGKB-Geschaeftsbericht-2015.pdf"
St.Galler Kantonalbank AG;DE;AR;2014;"https://www.sgkb.ch/download/online/SGKB_Geschaeftsbericht_2014.pdf"
St.Galler Kantonalbank AG;DE;AR;2013;"https://www.sgkb.ch/download/online/SGKB_Geschaeftsbericht_2013_web_1.pdf"
St.Galler Kantonalbank AG;DE;AR;2012;"https://www.sgkb.ch/download/online/Geschaeftsbericht_SGKB_2012.pdf"
St.Galler Kantonalbank AG;EN;AR;2012;"https://www.sgkb.ch/download/online/SGKB_GB12_Englisch.pdf"
St.Galler Kantonalbank AG;DE;AR;2011;"https://www.sgkb.ch/download/online/SGKB_GB_2011.pdf"
St.Galler Kantonalbank AG;EN;AR;2011;"https://www.sgkb.ch/download/online/SGKB_GB11_en_web.pdf"
St.Galler Kantonalbank AG;DE;AR;2010;"https://www.sgkb.ch/download/online/Geschaeftsbericht_2010.pdf"
St.Galler Kantonalbank AG;EN;AR;2010;"https://www.sgkb.ch/download/online/SGKB_GB10_en_web.pdf"
St.Galler Kantonalbank AG;DE;AR;2009;"https://www.sgkb.ch/download/online/SGKB_GB_2009.pdf"
St.Galler Kantonalbank AG;EN;AR;2009;"https://www.sgkb.ch/download/online/GB_2009_en.pdf"
St.Galler Kantonalbank AG;DE;AR;2008;"https://www.sgkb.ch/download/online/GB_2008.pdf"
St.Galler Kantonalbank AG;EN;AR;2008;"https://www.sgkb.ch/download/online/GB_2008_en.pdf"
St.Galler Kantonalbank AG;DE;AR;2007;"https://www.sgkb.ch/download/online/GB_2007.pdf"
St.Galler Kantonalbank AG;EN;AR;2007;"https://www.sgkb.ch/download/online/GB_2007_en.pdf"
St.Galler Kantonalbank AG;DE;AR;2006;"https://www.sgkb.ch/download/online/IR_SGKB_GB_2006_web_opt.pdf"
St.Galler Kantonalbank AG;EN;AR;2006;"https://www.sgkb.ch/download/online/IR_SGKB_AR_2006[1].pdf"
St.Galler Kantonalbank AG;DE;AR;2005;"https://www.sgkb.ch/download/online/IR_GB2005_gesamt_d.pdf"
St.Galler Kantonalbank AG;EN;AR;2005;"https://www.sgkb.ch/download/online/IR_GB2005_gesamt_e.pdf"
St.Galler Kantonalbank AG;DE;AR;2004;"https://www.sgkb.ch/download/online/IR_GB2004_gesamt_d.pdf"
St.Galler Kantonalbank AG;EN;AR;2004;"https://www.sgkb.ch/download/online/IR_GB2004_gesamt_e.pdf"
St.Galler Kantonalbank AG;DE;AR;2003;"https://www.sgkb.ch/download/online/IR_GB2003_gesamt_d.pdf"
St.Galler Kantonalbank AG;EN;AR;2003;"https://www.sgkb.ch/download/online/IR_GB2003_gesamt_e.pdf"
St.Galler Kantonalbank AG;DE;AR;2002;"https://www.sgkb.ch/download/online/IR_GB2002_gesamt_d.pdf"
