company;language;report_type;year;link
Sulzer AG;DE;AR;2013;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2013.ashx?la=de-ch"
Sulzer AG;EN;AR;2013;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2013.ashx?la=en"
Sulzer AG;DE;AR;2014;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2014.ashx?la=de-ch"
Sulzer AG;EN;AR;2014;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2014.ashx?la=en"
Sulzer AG;DE;AR;2015;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2015.ashx?la=de-ch"
Sulzer AG;EN;AR;2015;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2015_former_years/sulzer_annual_report_2015.ashx?la=en"
Sulzer AG;DE;AR;2016;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2016_annual_results/01_sulzer_annual_report_2016.ashx?la=de-ch"
Sulzer AG;EN;AR;2016;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2016_annual_results/01_sulzer_annual_report_2016.ashx?la=en"
Sulzer AG;DE;AR;2017;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2017_annual_results/sulzer_annual_report_2017.ashx?la=de-ch"
Sulzer AG;EN;AR;2017;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2017_annual_results/sulzer_annual_report_2017.ashx?la=en"
Sulzer AG;EN;AR;2018;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/financial_reporting_archive/2018_annual_results/sulzer_annual_report_2018_en.ashx?la=en"
Sulzer AG;DE;AR;2019;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/2019_annual_results/annual_report_2019_sulzer.ashx?la=de-ch"
Sulzer AG;EN;AR;2019;"https://www.sulzer.com/-/media/files/about-us/investors/financial_reporting/2019_annual_results/annual_report_2019_sulzer.ashx?la=en"
