company;language;report_type;year;link
Sunrise Communications Group AG;EN;AR;2019;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2020/Sunrise_Annual%20Report%202019.pdf"
Sunrise Communications Group AG;EN;AR;2018;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2019/Annual%20Report%202018_final.pdf"
Sunrise Communications Group AG;EN;AR;2017;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2017/Sunrise_Annual_Report_2017.pdf"
Sunrise Communications Group AG;EN;AR;2016;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2016/02%20Mar%202017%20-%20Report.pdf"
Sunrise Communications Group AG;EN;AR;2015;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2015/10%20Mar%202016%20-%20Report.pdf"
Sunrise Communications Group AG;EN;AR;2014;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2014/q4-fy-2014-report2-en.pdf"
Sunrise Communications Group AG;EN;FR;2014;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2014/q4-fy-2014-report-en.pdf"
Sunrise Communications Group AG;EN;AR;2013;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2013/sch-interim-ifrs-q4-2013-final-released.pdf"
Sunrise Communications Group AG;EN;FR;2013;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2013/sch-ifrs-2013-fs-final-signed-released.pdf"
Sunrise Communications Group AG;EN;AR;2012;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2012/sunrise-communications-holdings-sa-signed-consolidated-fs-31122012.pdf"
Sunrise Communications Group AG;EN;FR;2012;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2012/sch-interim-ifrs-q4-2012-fs-final-approved.pdf"
Sunrise Communications Group AG;EN;AR;2011;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2011/22%20Mar%202012%20-%20Report%20I.pdf"
Sunrise Communications Group AG;EN;FR;2011;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2011/22%20Mar%202012%20-%20Report%20II.pdf"
Sunrise Communications Group AG;EN;AR;2010;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2010/sch-ifrs-2010-fs-final-with-report.pdf"
Sunrise Communications Group AG;EN;FR;2010;"https://www.sunrise.ch/content/dam/sunrise/corporate/documents/ir-reports-presentations/2010/24%20Mar%202011%20-%20Report%20II.pdf"
