company;language;report_type;year;link
Swatch;DE;GB;2017;"https://www.swatchgroup.com/sites/default/files/media-files/2017_annual_report_complete_de.pdf"
Swatch;EN;GB;2017;"https://www.swatchgroup.com/sites/default/files/media-files/2017_annual_report_complete_en.pdf"
Swatch;EN;GB;2016;"https://www.swatchgroup.com/sites/default/files/media-files/2016_annual_report_complete_en.pdf"
Swatch;EN;FB;2016;"https://www.swatchgroup.com/sites/default/files/media-files/2016_annual_report_finance_en.pdf"
Swatch;EN;GB;2015;"https://www.swatchgroup.com/sites/default/files/media-files/2015_annual_report_complete_en.pdf"
Swatch;EN;FB;2015;"https://www.swatchgroup.com/sites/default/files/media-files/2015_annual_report_finance_en.pdf"
Swatch;EN;GB;2014;"https://www.swatchgroup.com/sites/default/files/media-files/2014_annual_report_complete_en.pdf"
Swatch;EN;FB;2014;"https://www.swatchgroup.com/sites/default/files/media-files/2014_annual_report_finance_en.pdf"
Swatch;EN;GB;2013;"https://www.swatchgroup.com/sites/default/files/media-files/2013_annual_report_complete_en.pdf"
Swatch;EN;FB;2013;"https://www.swatchgroup.com/sites/default/files/media-files/2013_annual_report_finance_en.pdf"
Swatch;EN;GB;2012;"https://www.swatchgroup.com/sites/default/files/media-files/2012_annual_report_complete_en.pdf"
Swatch;EN;FB;2012;"https://www.swatchgroup.com/sites/default/files/media-files/2012_annual_report_finance_en.pdf"
Swatch;EN;GB;2011;"https://www.swatchgroup.com/sites/default/files/media-files/2011_annual_report_complete_en.pdf"
Swatch;EN;FB;2011;"https://www.swatchgroup.com/sites/default/files/media-files/2011_annual_report_finance_en.pdf"
Swatch;EN;GB;2010;"https://www.swatchgroup.com/sites/default/files/media-files/2010_annual_report_complete_en.pdf"
Swatch;EN;FB;2010;"https://www.swatchgroup.com/sites/default/files/media-files/2010_annual_report_finance_en.pdf"
Swatch;EN;GB;2009;"https://www.swatchgroup.com/sites/default/files/media-files/2009_annual_report_complete_en.pdf"
Swatch;EN;FB;2009;"https://www.swatchgroup.com/sites/default/files/media-files/2009_annual_report_finance_en.pdf"
Swatch;EN;GB;2008;"https://www.swatchgroup.com/sites/default/files/media-files/2008_annual_report_complete_en.pdf"
Swatch;EN;FB;2008;"https://www.swatchgroup.com/sites/default/files/media-files/2008_annual_report_finance_en.pdf"
Swatch;EN;GB;2007;"https://www.swatchgroup.com/sites/default/files/media-files/2007_annual_report_complete_en.pdf"
Swatch;EN;FB;2007;"https://www.swatchgroup.com/sites/default/files/media-files/2007_annual_report_finance_en.pdf"
Swatch;EN;GB;2006;"https://www.swatchgroup.com/sites/default/files/media-files/2006_annual_report_complete_en.pdf"
Swatch;EN;FB;2006;"https://www.swatchgroup.com/sites/default/files/media-files/2006_annual_report_finance_en.pdf"
Swatch;EN;GB;2005;"https://www.swatchgroup.com/sites/default/files/media-files/2005_annual_report_complete_en.pdf"
Swatch;EN;FB;2005;"https://www.swatchgroup.com/sites/default/files/media-files/2005_annual_report_finance_en.pdf"
Swatch;EN;GB;2004;"https://www.swatchgroup.com/sites/default/files/media-files/2004_annual_report_en.pdf"
Swatch;EN;FB;2004;"https://www.swatchgroup.com/sites/default/files/media-files/2004_finance_en.pdf"
Swatch;DE;GB;2016;"https://www.swatchgroup.com/sites/default/files/media-files/2016_annual_report_complete_de.pdf"
Swatch;DE;FB;2016;"https://www.swatchgroup.com/sites/default/files/media-files/2016_annual_report_finance_de.pdf"
Swatch;DE;GB;2015;"https://www.swatchgroup.com/sites/default/files/media-files/2015_annual_report_complete_de.pdf"
Swatch;DE;FB;2015;"https://www.swatchgroup.com/sites/default/files/media-files/2015_annual_report_finance_de.pdf"
Swatch;DE;GB;2014;"https://www.swatchgroup.com/sites/default/files/media-files/2014_annual_report_complete_de.pdf"
Swatch;DE;FB;2014;"https://www.swatchgroup.com/sites/default/files/media-files/2014_annual_report_finance_de.pdf"
Swatch;DE;GB;2013;"https://www.swatchgroup.com/sites/default/files/media-files/2013_annual_report_complete_de.pdf"
Swatch;DE;FB;2013;"https://www.swatchgroup.com/sites/default/files/media-files/2013_annual_report_finance_de.pdf"
Swatch;DE;GB;2012;"https://www.swatchgroup.com/sites/default/files/media-files/2012_annual_report_complete_de.pdf"
Swatch;DE;FB;2012;"https://www.swatchgroup.com/sites/default/files/media-files/2012_annual_report_finance_de.pdf"
Swatch;DE;GB;2011;"https://www.swatchgroup.com/sites/default/files/media-files/2011_annual_report_complete_de.pdf"
Swatch;DE;FB;2011;"https://www.swatchgroup.com/sites/default/files/media-files/2011_annual_report_finance_de.pdf"
Swatch;DE;GB;2010;"https://www.swatchgroup.com/sites/default/files/media-files/2010_annual_report_complete_de.pdf"
Swatch;DE;FB;2010;"https://www.swatchgroup.com/sites/default/files/media-files/2010_annual_report_finance_de.pdf"
Swatch;DE;GB;2009;"https://www.swatchgroup.com/sites/default/files/media-files/2009_annual_report_complete_de.pdf"
Swatch;DE;FB;2009;"https://www.swatchgroup.com/sites/default/files/media-files/2009_annual_report_finance_de.pdf"
Swatch;DE;GB;2008;"https://www.swatchgroup.com/sites/default/files/media-files/2008_annual_report_complete_de.pdf"
Swatch;DE;FB;2008;"https://www.swatchgroup.com/sites/default/files/media-files/2008_annual_report_finance_de.pdf"
Swatch;DE;GB;2007;"https://www.swatchgroup.com/sites/default/files/media-files/2007_annual_report_complete_de.pdf"
Swatch;DE;FB;2007;"https://www.swatchgroup.com/sites/default/files/media-files/2007_annual_report_finance_de.pdf"
Swatch;DE;GB;2006;"https://www.swatchgroup.com/sites/default/files/media-files/2006_annual_report_complete_de.pdf"
Swatch;DE;FB;2006;"https://www.swatchgroup.com/sites/default/files/media-files/2006_annual_report_finance_de.pdf"
Swatch;DE;GB;2005;"https://www.swatchgroup.com/sites/default/files/media-files/2005_annual_report_complete_de.pdf"
Swatch;DE;FB;2005;"https://www.swatchgroup.com/sites/default/files/media-files/2005_annual_report_finance_de.pdf"
Swatch;DE;GB;2004;"https://www.swatchgroup.com/sites/default/files/media-files/2004_annual_report_complete_de.pdf"
Swatch;DE;FB;2004;"https://www.swatchgroup.com/sites/default/files/media-files/2004_annual_report_finance_de.pdf"
Swatch;EN;GB;2018;"http://www.swatchgroup.com/sites/default/files/media-files/2018_annual_report_complete_en_0.pdf"
Swatch;DE;GB;2018;"http://www.swatchgroup.com/sites/default/files/media-files/2018_annual_report_complete_de_1.pdf"
