company;language;report_type;year;link
Swiss Life Holding AG;DE;AR;2017;"https://www.swisslife.com/content/dam/com_rel/dokumente/fy_results/fy_2017/SwissLife_YE17_AnnualReport_DE.pdf"
Swiss Life Holding AG;EN;AR;2017;"https://www.swisslife.com/content/dam/com_rel/dokumente/fy_results/fy_2017/SwissLife_YE17_AnnualReport_EN.pdf"
Swiss Life Holding AG;DE;AR;2016;"https://www.swisslife.com/content/dam/com_rel/dokumente/fy_results/fy_2016/SwissLife_YE16_AnnualReport_de.pdf"
Swiss Life Holding AG;EN;AR;2016;"https://www.swisslife.com/content/dam/com_rel/dokumente/fy_results/fy_2016/SwissLife_YE16_AnnualReport_en.pdf"
Swiss Life Holding AG;DE;AR;2015;"https://www.swisslife.com/content/dam/com_rel/dokumente/Neu_uploads/SwissLife_YE15_AnnualReport_de_farbe_neu.pdf"
Swiss Life Holding AG;EN;AR;2015;"https://www.swisslife.com/content/dam/com_rel/dokumente/Neu_uploads/SwissLife_YE15_AnnualReport_en_color.pdf"
Swiss Life Holding AG;DE;AR;2014;"http://www.swisslife.com/content/dam/com/fullyear/fy2014/SwissLife_YE14_AnnualReport_de.pdf"
Swiss Life Holding AG;EN;AR;2014;"http://www.swisslife.com/content/dam/com/fullyear/fy2014/SwissLife_YE14_AnnualReport_en.pdf"
Swiss Life Holding AG;DE;AR;2013;"https://www.swisslife.com/content/dam/com/fullyear/fy2013/Swiss%20Life%20YE13_AnnualReport_de.pdf"
Swiss Life Holding AG;EN;AR;2013;"https://www.swisslife.com/content/dam/com/fullyear/fy2013/Swiss%20Life%20YE13_AnnualReport_en.pdf"
Swiss Life Holding AG;DE;AR;2012;"http://www.swisslife.com/content/dam/com/fullyear/fy2012/geschaeftsbericht_fy2012.pdf"
Swiss Life Holding AG;EN;AR;2012;"http://www.swisslife.com/content/dam/com/fullyear/fy2012/annualreport_fy2012.pdf"
Swiss Life Holding AG;DE;FR;2011;"http://www.swisslife.com/content/dam/com/fullyear/fy2011/finanzbericht_fy2011.pdf"
Swiss Life Holding AG;EN;FR;2011;"http://www.swisslife.com/content/dam/com/fullyear/fy2011/financialreport_fy2011.pdf"
Swiss Life Holding AG;DE;AR;2011;"http://www.swisslife.com/content/dam/com/fullyear/fy2011/jahresbericht_fy2011.pdf"
Swiss Life Holding AG;EN;AR;2011;"http://www.swisslife.com/content/dam/com/fullyear/fy2011/businessreview_fy2011.pdf"
Swiss Life Holding AG;FR;AR;2011;"http://www.swisslife.com/content/dam/com/fullyear/fy2011/rapportannuel_fy2011.pdf"
Swiss Life Holding AG;DE;FR;2010;"https://www.swisslife.com/content/dam/com/fullyear/fy2010/finanzbericht_fy2010_de.pdf"
Swiss Life Holding AG;EN;FR;2010;"https://www.swisslife.com/content/dam/com/fullyear/fy2010/financialreport_fy2010_en.pdf"
Swiss Life Holding AG;DE;AR;2010;"https://www.swisslife.com/content/dam/com/fullyear/fy2010/jahresbericht_fy2010_de.pdf"
Swiss Life Holding AG;EN;AR;2010;"https://www.swisslife.com/content/dam/com/fullyear/fy2010/businessreview_fy2010_en.pdf"
Swiss Life Holding AG;FR;AR;2010;"https://www.swisslife.com/content/dam/com/fullyear/fy2010/rapportannuel_fy2010_fr.pdf"
Swiss Life Holding AG;DE;FR;2009;"https://www.swisslife.com/content/dam/com/fullyear/fy2009/finanzbericht_fy2009_de.pdf"
Swiss Life Holding AG;EN;FR;2009;"https://www.swisslife.com/content/dam/com/fullyear/fy2009/financialreport_fy2009_en.pdf"
Swiss Life Holding AG;DE;AR;2009;"https://www.swisslife.com/content/dam/com/fullyear/fy2009/jahresbericht_fy2009_de.pdf"
Swiss Life Holding AG;EN;AR;2009;"https://www.swisslife.com/content/dam/com/fullyear/fy2009/businessreview_fy2009_en.pdf"
Swiss Life Holding AG;FR;AR;2009;"https://www.swisslife.com/content/dam/com/fullyear/fy2009/rapportannuel_fy2009_fr.pdf"
Swiss Life Holding AG;DE;AR;2008;"https://www.swisslife.com/content/dam/com/fullyear/fy2008/geschaeftsbericht_fy2008_de.pdf"
Swiss Life Holding AG;EN;AR;2008;"https://www.swisslife.com/content/dam/com/fullyear/fy2008/annualreport_fy2008_en.pdf"
Swiss Life Holding AG;DE;AR;2008;"https://www.swisslife.com/content/dam/com/fullyear/fy2008/jahresbericht_fy2008_de.pdf"
Swiss Life Holding AG;EN;FR;2008;"https://www.swisslife.com/content/dam/com/fullyear/fy2008/financialreport_fy2008_en.pdf"
Swiss Life Holding AG;FR;AR;2008;"https://www.swisslife.com/content/dam/com/fullyear/fy2008/rapportannuel_fy2008_fr.pdf"
Swiss Life Holding AG;DE;AR;2007;"https://www.swisslife.com/content/dam/com/fullyear/fy2007/geschaeftsbericht_fy2007_de.pdf"
Swiss Life Holding AG;EN;AR;2007;"https://www.swisslife.com/content/dam/com/fullyear/fy2007/annualreport_fy2007_en.pdf"
Swiss Life Holding AG;DE;AR;2007;"https://www.swisslife.com/content/dam/com/fullyear/fy2007/jahresbericht_fy2007_de.pdf"
Swiss Life Holding AG;EN;AR;2007;"https://www.swisslife.com/content/dam/com/fullyear/fy2007/businessreview_fy2007_en.pdf"
Swiss Life Holding AG;FR;AR;2007;"https://www.swisslife.com/content/dam/com/fullyear/fy2007/rapportannuel_fy2007_fr.pdf"
Swiss Life Holding AG;DE;AR;2006;"https://www.swisslife.com/content/dam/com/fullyear/fy2006/geschaeftsbericht_fy2006_de.pdf"
Swiss Life Holding AG;EN;AR;2006;"https://www.swisslife.com/content/dam/com/fullyear/fy2006/annualreport_fy2006_en.pdf"
Swiss Life Holding AG;DE;AR;2005;"https://www.swisslife.com/content/dam/com/fullyear/fy2005/geschaeftsbericht_fy2005_de.pdf"
Swiss Life Holding AG;EN;AR;2005;"https://www.swisslife.com/content/dam/com/fullyear/fy2005/annualreport_fy2005_en.pdf"
Swiss Life Holding AG;DE;AR;2004;"https://www.swisslife.com/content/dam/com/fullyear/fy2004/geschaeftsbericht_fy2004_de.pdf"
Swiss Life Holding AG;EN;AR;2004;"https://www.swisslife.com/content/dam/com/fullyear/fy2004/annualreport_fy2004_en.pdf"
Swiss Life Holding AG;DE;AR;2003;"https://www.swisslife.com/content/dam/com/fullyear/fy2003/geschaeftsbericht_fy2003_de.pdf"
Swiss Life Holding AG;EN;AR;2003;"https://www.swisslife.com/content/dam/com/fullyear/fy2003/annualreport_fy2003_en.pdf"
Swiss Life Holding AG;EN;FR;2002;"https://www.swisslife.com/content/dam/com/fullyear/fy2002/financialreport_fy2002_en.pdf"
