company;language;report_type;year;link
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-04/annual_report_2018-9eh0b0.pdf"
Swissquote;EN;AR;2017;"https://resources.swissquote.com/sites/default/files/2019-03/annual_report_h2-2017.pdf"
Swissquote;EN;AR;2016;"https://resources.swissquote.com/sites/default/files/2019-03/annual_report_h2-2016.pdf"
Swissquote;EN;AR;2015;"https://resources.swissquote.com/sites/default/files/2019-03/report_h2_2015.pdf"
Swissquote;EN;AR;2014;"https://resources.swissquote.com/sites/default/files/2019-03/report_h2_2014.pdf"
Swissquote;EN;AR;2013;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2013.pdf"
Swissquote;EN;AR;2012;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2012.pdf"
Swissquote;EN;AR;2011;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2011.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2010.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2009.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2008.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2007.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2006.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2005.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2004.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2003.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2002_e.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2001_e.pdf"
Swissquote;EN;AR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/report_q4_2000_e.pdf"
Swissquote;EN;FR;2018;"https://resources.swissquote.com/sites/default/files/2019-03/rappfinancier_2000.pdf"
