company;language;report_type;year;link
Tamedia;DE;AR;2001;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2001_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2002;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2002_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2003;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2003_geschaeftsbericht_de.pdf"
Tamedia;DE;FR;2003;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2003_geschaeftsbericht_finanzteil_de.pdf"
Tamedia;DE;FR;2004;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2004_geschaeftsbericht_finanzteil_de.pdf"
Tamedia;DE;FR;2005;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2005_geschaeftsbericht_finanzteil_de.pdf"
Tamedia;DE;FR;2006;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2006_geschaeftsbericht_finanzteil_de.pdf"
Tamedia;DE;AR;2007;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2007_geschaeftsbericht_finanzteil_de.pdf"
Tamedia;DE;AR;2008;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2008_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2009;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2009_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2010;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2010_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2011;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2011_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2012;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2012_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2013;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2013_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2014;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2014_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2015;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2015_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2016;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2016_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2017;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2017_geschaeftsbericht_de.pdf"
Tamedia;DE;AR;2018;"https://www.tamedia.ch/tl_files/content/Group/Investor%20Relations/Deutsch/2018_geschaeftsbericht_de.pdf"
